PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Taj Gibson,NYK,52,0.3,6.8,1.2,0.3,0.1,0.3,46.2,53.8
Jonas Valanciunas,NOP,74,1.1,6.7,1.22,1.4,0.5,1,54.2,64.6
Jarrett Allen,CLE,56,0.9,6.7,1.58,1.4,0.6,0.7,85.4,85.4
Dwight Powell,DAL,82,0.5,6.7,1.7,0.8,0.3,0.4,84.4,85.9
Ish Smith,WAS,28,0.7,6.6,0.84,0.6,0.2,0.5,46.2,53.8
Deandre Ayton,PHX,58,0.9,6.5,1.53,1.4,0.6,0.9,72,74
Goga Bitadze,IND,50,0.4,6.5,1.64,0.7,0.3,0.3,87.5,93.8
Alperen Sengun,HOU,72,0.7,6.4,0.82,0.6,0.2,0.4,50,50
Andre Drummond,BKN,24,0.7,6.4,1.71,1.2,0.5,0.6,92.9,92.9
Hassan Whiteside,UTA,65,0.4,6.3,1.34,0.6,0.3,0.4,68,68
Tristan Thompson,SAC,30,0.4,6.3,1.15,0.5,0.2,0.2,83.3,83.3
Luka Doncic,DAL,65,1.8,6.1,0.89,1.6,0.6,1.1,50.7,56.8
Kevon Looney,GSW,82,0.4,6.1,1.43,0.5,0.2,0.3,81,81
Nikola Vucevic,CHI,73,1.1,6,1.11,1.2,0.5,1,46.5,56.3
DeMarcus Cousins,DEN,31,0.6,6,0.9,0.5,0.1,0.4,36.4,45.5
Willy Hernangomez,NOP,50,0.5,5.9,1.65,0.9,0.3,0.4,77.3,79.5
Bismack Biyombo,PHX,36,0.3,5.9,1.25,0.4,0.2,0.3,70,70
Steven Adams,MEM,76,0.4,5.8,0.94,0.4,0.2,0.3,75,75
Drew Eubanks,SAS,50,0.3,5.8,1.29,0.4,0.1,0.2,87.5,87.5
Larry Nance Jr.,POR,37,0.4,5.7,1.64,0.6,0.2,0.3,75,87.5
Zach Collins,SAS,28,0.4,5.2,1.5,0.6,0.2,0.3,71.4,78.6
Andre Drummond,PHI,49,0.4,5.1,1.06,0.4,0.2,0.3,69.2,69.2
LaMarcus Aldridge,BKN,47,0.5,4.6,1.12,0.6,0.3,0.4,65,67.5
Damian Jones,SAC,56,0.3,4.5,1.12,0.3,0.1,0.2,46.2,46.2
Dwight Howard,LAL,60,0.2,3.9,1.08,0.2,0.1,0.1,50,50
Jakob Poeltl,SAS,68,0.4,3.5,1.23,0.5,0.3,0.4,72,72
Jusuf Nurkic,POR,56,0.5,3.2,1.25,0.6,0.2,0.4,54.5,61.4
Mitchell Robinson,NYK,72,0.2,3.1,1.33,0.3,0.1,0.1,80,80
