RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
191,Omer Asik,NOP,29,68,29,39,17.3,98.7,107.5,-8.8,3.2,0.43,7.8,9.5,25.8,17.2,18,53.3,55.1,11.4,97.39,7.9,2393
191,Paul Pierce,LAC,38,68,44,24,18.1,104.1,103,1.2,8.8,1.22,12.7,1,13.5,7.4,10.4,45.7,48.9,17.7,97.75,5.8,2519
191,Zach Randolph,MEM,34,68,37,31,29.7,105.9,106.9,-1.1,12.5,1.35,11.3,8.8,18.7,13.6,8.4,47.9,51.9,24.7,93.26,13,3932
200,Austin Rivers,LAC,23,67,42,25,21.8,98.7,102.8,-4,11.6,1.62,13.6,1.5,7,4.3,8.4,49.8,52.3,18.8,99.8,6.9,3024
200,Jimmy Butler,CHI,26,67,37,30,36.9,104.2,104.5,-0.3,21.8,2.43,18.9,3.1,10.3,6.8,7.8,48.5,56.2,24.2,96.53,14.1,4976
200,Jon Leuer,PHX,27,67,22,45,18.7,101.7,103.9,-2.2,9,0.96,11,5.8,23,14.3,11.4,52.6,55.5,19.5,101.86,12.6,2661
200,Kenneth Faried,DEN,26,67,26,41,25.3,106.5,110,-3.5,7.7,0.87,8.9,13.2,21,17,10.2,55.8,57.7,20.3,96.9,12.6,3425
200,Lou Williams,LAL,29,67,14,53,28.5,100.9,111,-10.2,14.9,1.56,14.6,1.5,7.2,4.3,9.4,48.8,58.4,22.1,98.26,10.4,3902
200,Nerlens Noel,PHI,22,67,10,57,29.3,95.5,106.3,-10.8,10.7,0.77,12.6,7.5,19.5,13.4,16.3,52.2,54.4,18.7,99.14,11.3,4048
200,Robert Covington,PHI,25,67,10,57,28.4,98.2,105.2,-7,8.3,0.68,9.5,3.1,18.7,10.6,13.9,50.4,54.3,20.9,100.34,9,3978
207,Brandon Bass,LAL,31,66,16,50,20.3,105.3,106.2,-0.9,8.8,1.76,14.9,7.4,13.6,10.4,8.4,54.9,61.9,13.6,97.88,10.5,2739
207,Chase Budinger,PHX,28,66,29,37,14.1,101.9,102.1,-0.3,9.8,1.45,17.3,4.3,11.5,7.8,11.9,48.5,51.4,13.8,100.03,7.4,1941
207,Derrick Rose,CHI,27,66,32,34,31.8,103.1,106.9,-3.8,25,1.78,19.3,2.1,7.8,5,10.9,44.8,47.9,26.6,97.9,9.4,4276
207,Harrison Barnes,GSW,24,66,59,7,30.9,112,101.8,10.2,7.7,2.05,13.5,3.8,11.4,7.8,6.6,53.1,55.9,15.6,100.93,7.9,4299
207,Ian Clark,GSW,25,66,59,7,8.8,102.2,109.8,-7.6,17.1,1.49,19.8,2.3,9,5.8,13.3,51.5,54.4,19.3,99.62,7.4,1205
207,Jeremy Lamb,CHA,24,66,40,26,18.6,102,95.8,6.2,11.1,1.54,11.4,3.5,15.7,9.7,7.4,50.6,52.9,21.4,97.72,11.9,2497
207,Johnny O'Bryant III,MIL,23,66,27,39,13,99.7,106.6,-6.9,5.7,1.03,11.1,7.9,13.3,10.6,10.7,41.4,44.1,13.5,94.56,4.5,1682
207,Kobe Bryant,LAL,37,66,13,53,28.2,100.1,114.9,-14.8,18.3,1.43,12,2,11.1,6.3,8.4,41.7,46.9,31.4,98.46,8.9,3820
207,Nikola Mirotic,CHI,25,66,37,29,24.9,105.3,104.7,0.7,9.5,0.98,11.2,3.5,17.4,10.6,11.4,51.8,56.4,20.9,98.27,10.3,3379
207,PJ Hairston,MEM,23,66,31,35,19.9,102.4,108.4,-5.9,4.5,0.93,7.4,1.8,11.9,6.5,8,44.1,47,16.1,96.45,3.9,2622
207,Ryan Anderson,NOP,28,66,24,42,30.4,107.1,106.9,0.2,5.9,0.81,6.1,6.2,13.6,9.7,7.6,49.8,54.6,23.8,99.3,10.9,4166
207,Ty Lawson,IND,28,66,31,35,21.4,99.9,105.6,-5.7,25.1,2.49,32.7,1.7,6.4,4,13.1,44.4,47.6,14.5,101.33,6.8,2984
207,Tyson Chandler,PHX,33,66,18,48,24.5,96.3,107.9,-11.5,6.4,0.69,11.7,10.3,25.1,17.4,17,58.3,60.6,12.6,98.87,11.7,3328
207,Willie Cauley-Stein,SAC,22,66,26,40,21.4,105.6,106.8,-1.2,3.8,0.8,7.7,9.4,15,12.2,9.6,56.3,58.8,13.1,101.51,8.8,2965
221,Andre Iguodala,GSW,32,65,59,6,26.6,112.7,99.6,13.2,16.5,2.77,31.2,3.1,11,7.3,11.2,55.2,56.5,11.7,101.88,8.9,3663
221,DeMarcus Cousins,SAC,25,65,29,36,34.6,106.3,104.9,1.3,16.7,0.86,10.2,7,24.9,16.2,11.9,47.7,53.8,35.1,102.25,15.6,4772
221,Deron Williams,DAL,32,65,31,34,32.4,104.9,104.8,0.1,29.5,2.52,27.2,0.9,7.9,4.5,10.8,47.7,53,21.8,95.6,10,4193
221,Jrue Holiday,NOP,26,65,27,38,28.2,106.7,106.1,0.6,36.5,2.34,24.6,1.4,9.4,5.3,10.5,48.5,52.9,28.3,99.13,12.9,3783
221,Kyle O'Quinn,NYK,26,65,26,39,11.8,99.9,103.8,-3.9,16.1,1.18,16.8,9.7,20.8,15.5,14.2,48.5,52,20.6,96.69,12.3,1540
221,Nikola Vucevic,ORL,25,65,28,37,31.3,104.9,106.1,-1.2,15.4,1.46,12.7,8.4,20.3,14.2,8.7,51.1,53.1,26.5,96.76,14,4107
227,CJ Miles,IND,29,64,34,30,22.9,102.7,102.5,0.2,6.9,0.9,7.7,1.7,9.9,5.8,8.5,52.1,54.7,22.1,100.95,8.2,3076
227,Devin Harris,DAL,33,64,35,29,20,100,102.6,-2.6,14.9,1.79,19.2,1.4,8.9,5.2,10.7,51.6,55.9,16.8,100.05,8.3,2658
227,Markieff Morris,WAS,26,64,22,42,25.5,102.2,104.5,-2.3,12.5,0.92,11.9,4.3,17.7,10.8,13,45.8,48.9,24,99.69,8.8,3377
227,Tony Allen,MEM,34,64,34,30,25.3,103.9,105.2,-1.4,6.8,0.9,10.3,6.3,12.8,9.4,11.5,47.4,50.5,16.7,93.77,7.5,3142
227,Tony Snell,CHI,24,64,33,31,20.3,101.5,97.3,4.1,7,1.21,13.4,1.4,11.7,6.8,11.1,45.4,47.8,13.4,98.49,5.4,2663
227,Trey Burke,UTA,23,64,31,33,21.3,102.3,102.6,-0.4,20.1,1.85,16.6,1.3,7,4.1,8.9,48.3,50.7,24.2,93.52,9.9,2666
233,Kelly Oubre Jr.,WAS,20,63,31,32,10.7,100.4,103,-2.6,2.9,0.38,4.7,3.5,15.5,9.5,12.3,48.6,50.7,16.6,102.42,5.1,1428
233,Larry Nance Jr.,LAL,23,63,14,49,20.1,101.4,104.8,-3.4,5.5,1.07,10.9,7.6,16.5,12,10.1,52.8,54.4,12.4,97.06,9,2556
235,Bobby Portis,CHI,21,62,29,33,17.8,100.4,108,-7.6,7.6,0.96,9.1,10.1,18.6,14.2,9.4,44.5,46.9,20.3,97.47,9.3,2234
235,Charlie Villanueva,DAL,31,62,29,33,10.7,97.2,105.2,-8,6.3,0.77,6.1,3.2,19.3,10.8,7.9,45.4,47.3,23.6,99.89,8.4,1395
235,D.J. Augustin,DEN,28,62,35,27,19,105.1,106.1,-1,25.7,2.36,28.8,0.7,7.2,4,12.2,52,57.5,18,97.91,9.8,2398
235,Derrick Favors,UTA,24,62,30,32,32,105.6,103.2,2.3,8.6,0.9,8.4,8.9,18,13.4,9.3,51.5,55.1,23.4,92.54,14,3827
235,Markel Brown,BKN,24,62,12,50,15.8,102.5,113.5,-11,14.2,1.69,17.9,2.3,10.6,6.3,10.6,45.3,50,18.3,97.82,6.5,1995
235,Ronnie Price,PHX,33,62,20,42,19.5,98.3,100.6,-2.3,18.7,2.1,27.3,1.9,6,3.9,13,49.7,51.7,13.5,100.38,5.7,2525
241,Anthony Davis,NOP,23,61,24,37,35.5,103.7,107.8,-4.1,10,0.96,7.5,5.9,23.4,14.5,7.8,50.8,55.9,29,98.35,16.5,4425
241,Chandler Parsons,DAL,27,61,29,32,29.5,105.3,105,0.3,15.8,1.78,17.4,1.7,14.1,8,9.8,57.1,58.9,20.4,95.65,11.5,3580
241,Donald Sloan,BKN,28,61,13,48,21.6,103.4,107.9,-4.5,29.3,3.35,35.9,1.3,11.9,6.7,10.7,49.4,53.6,16.3,96.92,9.9,2658
241,Marcus Smart,BOS,22,61,36,25,27.3,103.1,100.6,2.5,16.2,2.31,21.4,4.1,10.2,7,9.2,40.5,46.3,16.8,102.13,7.2,3544
241,Marcus Thornton,WAS,29,61,32,29,18.2,104.8,104,0.8,12.5,1.65,11.8,3.2,9.9,6.5,7.2,48.2,51.1,23.5,101.86,9.1,2363
241,Mario Chalmers,MIA,30,61,38,23,22.5,104,101.7,2.3,27,2.09,25.6,1.8,9.7,5.8,12.2,46.2,56.1,21.4,96.75,11.6,2772
241,Meyers Leonard,POR,24,61,33,28,21.8,108.5,105.3,3.2,10.3,1.19,14.8,3.7,19.2,11.5,12.4,54.7,56.1,17.4,97.31,8.2,2708
241,Miles Plumlee,MIL,27,61,23,38,14.3,98,103.6,-5.6,3,0.4,5.1,10.9,15.3,13.1,12.7,60.1,60.6,15.1,96.84,10.9,1754
241,Rudy Gobert,UTA,24,61,33,28,31.7,105.5,100.6,4.9,7.3,0.8,13.1,11.5,24.2,18,16.5,55.9,58.2,14.3,91.82,12.6,3681
241,Sasha Vujacic,NYK,32,61,22,39,14.9,102.5,103.9,-1.4,14.6,1.91,20,2.6,13.2,7.8,10.5,47.7,50.3,15.9,96.91,7.8,1826
241,Tim Duncan,SAS,40,61,50,11,25.2,108.1,94.5,13.6,15.3,1.81,21.8,7.9,21.2,14.8,12,48.8,52.3,17.1,94.41,12.2,3030
241,Toney Douglas,NOP,30,61,22,39,20.7,104.4,109.5,-5.1,18.8,2.45,22.1,1.9,9.9,5.6,9,50.2,54.3,18.9,99.53,8.5,2615
253,Cole Aldrich,LAC,27,60,41,19,13.3,99.1,99.8,-0.7,10.7,0.78,13.2,11,25.2,18.2,16.9,59.6,62.6,18.5,96.7,14.6,1604
253,Jonas Valanciunas,TOR,24,60,40,20,25.9,110.8,107.1,3.7,4.5,0.49,5.5,12.5,24.5,18.5,11.2,56.5,61,20.4,94.28,14.2,3073
253,Mike Muscala,ATL,24,60,34,26,9.4,97.5,100.5,-3,9.9,1.26,14.7,6.8,13.8,10.4,11.7,53.9,57.6,15.2,98.99,8.4,1166
253,Myles Turner,IND,20,60,32,28,22.8,99.2,101.6,-2.5,5,0.61,5.9,4.9,18.2,11.7,9.7,50.1,53.1,20.7,99.76,10.5,2842
253,Nemanja Bjelica,MIN,28,60,20,40,17.9,101.9,107.6,-5.7,11.5,1.74,21.1,4.7,15.6,10.1,12.1,57,59.4,12.3,98.3,7.3,2200
253,Tyler Zeller,BOS,26,60,38,22,11.8,98,102.3,-4.3,7.3,0.63,7,8,14.8,11.4,11.1,47.6,53.9,22.5,101.96,10.2,1508
253,Vince Carter,MEM,39,60,33,27,16.8,104,105.6,-1.6,8.9,1.6,12,2.9,11.7,7.1,7.5,47.4,52,17.7,97.16,8,2034
260,Alexis Ajinca,NOP,28,59,20,39,14.6,98.8,101.4,-2.6,5.9,0.57,7.3,8.5,22.7,15.4,12.6,47.6,51.4,20.1,99.04,9.5,1767
260,E'Twaun Moore,CHI,27,59,29,30,21.4,104,105,-0.9,11.8,1.87,17.8,1.5,8.2,5,9.5,54.1,54.8,15.7,97.97,7.3,2572
260,Joffrey Lauvergne,DEN,24,59,24,35,17.6,101,110.8,-9.8,9.3,1.04,10.7,7.3,20.4,13.8,10.4,53,56.7,19.6,96.72,11.4,2091
260,Lance Thomas,NYK,28,59,25,34,22.3,102.9,103.5,-0.6,6.6,0.93,9.8,2.7,6.9,4.9,10.5,50,55.7,16.6,96.57,6.4,2629
260,Nick Collison,OKC,35,59,39,20,11.9,102.3,100,2.3,10.3,1.04,22.9,9.5,14.1,11.8,22,45.9,49.8,10.5,97.78,4.8,1420
260,Pablo Prigioni,LAC,39,59,37,22,13.9,96.2,100.4,-4.1,23.5,2.65,39.5,4.5,9.2,6.8,14.9,46.9,48.2,10.8,96.92,7.5,1663
260,Quincy Acy,SAC,25,59,21,38,14.8,99.2,105.2,-6,4.5,1,9.1,7.1,13.9,10.4,9.1,60,62.9,12.8,101.46,8.9,1844
260,Solomon Hill,IND,25,59,31,28,14.7,104.8,101.1,3.7,9.3,1.73,18,4.3,13.6,9.1,10.4,50.5,54.3,12.8,98.81,9.1,1773
268,Dewayne Dedmon,ORL,26,58,21,37,12.2,102.3,103.5,-1.1,2.9,0.41,5.1,9.5,22.3,16,12.5,55.9,60.6,15.1,97.62,10.9,1424
268,Manu Ginobili,SAS,38,58,47,11,19.6,107.8,93.1,14.6,23.4,1.79,23.2,2.5,10.1,6.5,13,53.3,57.3,22.7,99.1,11.9,2335
268,Rodney Stuckey,IND,30,58,33,25,22,100.9,101.2,-0.3,17.9,1.87,19.5,1.5,10.3,6,10.4,43.6,50.4,20.2,97.47,9.6,2599
268,Steve Blake,DET,36,58,34,24,17,99,102.3,-3.3,31.1,2.47,37.8,0.8,8.3,4.3,15.3,49.6,51,14.3,97.62,7.8,2011
272,Archie Goodwin,PHX,21,57,14,43,19.5,101.7,110.6,-9,17.4,1.18,16.2,2.3,10.4,6.2,13.8,44.4,49.8,22.7,100.87,7.2,2341
272,Cameron Payne,OKC,21,57,44,13,12.2,104.1,105.9,-1.8,24.1,2.45,24.5,1.2,10.8,5.9,10,47.5,49,19.9,98.26,8.9,1427
272,James Johnson,TOR,29,57,35,22,16.2,104.9,105.1,-0.2,11.3,1.24,17.1,3.1,11,7,13.8,51.7,53.2,15.7,94.24,6.7,1823
272,John Henson,MIL,25,57,22,35,16.8,96.6,103.4,-6.8,9.6,0.84,11.7,9.2,13.3,11.3,13.9,56.4,58,18.8,96,10.3,1911
272,Nene,WAS,33,57,28,29,19.2,102.7,101.4,1.3,14.5,1.28,15.1,4.9,19.9,12.3,11.9,54.4,56.4,21.8,101.3,11.3,2309
272,Spencer Hawes,CHA,28,57,30,27,18.2,101.1,99.3,1.8,17.1,1.88,21.6,4.7,17.5,11.2,11.5,46.7,50.8,16.8,97.85,9.4,2114
278,Andrew Nicholson,ORL,26,56,22,34,14.7,100.6,97.8,2.8,5,0.61,6.2,4.1,19.1,11.8,10.2,53.7,56.7,20.5,96.79,11.9,1653
278,Mike Conley,MEM,28,56,33,23,31.4,105.7,104.5,1.2,32.4,4.07,28.1,1.5,8.2,4.8,6.9,47.8,53.8,22.5,93.74,12.9,3449
280,Bradley Beal,WAS,23,55,28,27,31.1,104.8,105,-0.2,15.3,1.45,14.2,2.4,8.8,5.5,9.8,51.5,54.7,24.5,100.54,9.9,3570
280,David Lee,DAL,33,55,27,28,16.4,98.4,102.4,-4,16.2,1.27,15.9,10.8,21.8,16.3,12.5,53.1,56.8,21,100.21,13.8,1880
