PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Aron Baynes,BOS,51,0.4,6.8,1.1,0.4,0.2,0.3,62.5,62.5
Clint Capela,HOU,67,0.4,2.8,0.85,0.3,0.1,0.3,47.4,47.4
Jordan Clarkson,CLE,81,0.3,1.9,0.81,0.3,0.1,0.3,40.9,40.9
JaMychal Green,LAC,24,0.8,9.7,1.1,0.9,0.4,0.7,52.9,52.9
Daniel Theis,BOS,66,0.2,3.9,1.54,0.3,0.1,0.1,71.4,71.4
Miles Bridges,CHA,80,0.3,3.5,0.95,0.3,0.1,0.2,52.6,52.6
Rodney Hood,CLE,45,0.5,4.1,0.91,0.4,0.1,0.3,40,40
Tomas Satoransky,WAS,80,0.2,2.2,1.19,0.2,0.1,0.1,62.5,62.5
Tim Hardaway Jr.,DAL,19,0.8,5.2,1.19,1,0.4,0.7,50,50
Thomas Bryant,WAS,72,0.2,2.8,1.12,0.3,0.1,0.1,60,60
Dwight Howard,WAS,9,2.2,18.9,0.95,2.1,0.8,1.4,53.8,53.8
Patrick Patterson,OKC,62,0.4,10.4,0.73,0.3,0.1,0.3,52.9,52.9
D'Angelo Russell,BKN,81,0.2,1.1,0.9,0.2,0.1,0.2,42.1,42.1
Pau Gasol,SAS,27,0.9,19,0.78,0.7,0.2,0.6,31.3,31.3
Mo Bamba,ORL,47,0.6,8.3,0.69,0.4,0.1,0.4,33.3,33.3
Eric Bledsoe,MIL,78,0.2,1,1.42,0.2,0.1,0.1,75,75
Tyreke Evans,IND,69,0.2,1.6,1.21,0.2,0.1,0.2,61.5,61.5
Jon Leuer,DET,38,0.5,12.4,0.94,0,0.2,0.4,50,50
Jake Layman,POR,71,0.2,3,1.13,0.2,0.1,0.2,53.8,53.8
Kris Dunn,CHI,46,0.3,2.5,1.06,0.4,0.2,0.3,61.5,61.5
Nikola Mirotic,MIL,14,1.2,10.8,1,1.2,0.4,0.8,45.5,45.5
Jalen Brunson,DAL,73,0.2,2.3,1,0.2,0.1,0.2,63.6,63.6
Danny Green,TOR,80,0.2,2.2,1,0.2,0.1,0.2,57.1,57.1
Kosta Koufos,SAC,42,0.5,11.1,0.76,0.4,0.1,0.4,33.3,33.3
Michael Beasley,LAL,26,1,12.9,0.64,0.6,0.3,0.7,38.9,38.9
Tim Hardaway Jr.,NYK,46,0.3,1.3,1.25,0.3,0.1,0.2,50,50
Moritz Wagner,LAL,43,0.4,7.3,0.88,0.3,0.1,0.2,44.4,44.4
Lance Thomas,NYK,46,0.4,7.6,0.83,0.3,0.2,0.3,53.8,53.8
Marcin Gortat,LAC,47,0.5,9.7,0.6,0.3,0.1,0.4,33.3,33.3
Gordon Hayward,BOS,72,0.2,1.3,1.27,0.2,0.1,0.1,50,50
Josh Richardson,MIA,73,0.2,1.1,1,0.2,0.1,0.2,58.3,58.3
Juancho Hernangomez,DEN,70,0.2,3.6,1,0.2,0.1,0.2,54.5,54.5
Mike Muscala,PHI,47,0.2,2.8,1.3,0.3,0.1,0.1,57.1,57.1
Cody Zeller,CHA,49,0.2,2.6,1.08,0.3,0.1,0.2,75,75
Stanley Johnson,DET,48,0.3,2.8,1.08,0.3,0.1,0.2,62.5,62.5
Otto Porter Jr.,WAS,41,0.3,2.8,0.93,0.3,0.1,0.3,41.7,41.7
Jonathan Isaac,ORL,75,0.3,2.9,0.59,0.2,0.1,0.2,40,40
Luke Kornet,NYK,46,0.6,8.5,0.46,0.3,0.1,0.6,23.1,23.1
Mitchell Robinson,NYK,66,0.2,2.9,1.09,0.2,0.1,0.1,100,100
Jonas Jerebko,GSW,73,0.2,2.5,1.09,0.2,0.1,0.1,62.5,62.5
Mario Hezonja,NYK,58,0.2,2.2,0.92,0.2,0.1,0.2,54.5,54.5
Josh Jackson,PHX,79,0.2,1.2,0.92,0.2,0.1,0.2,50,50
Nene,HOU,42,0.4,10.3,0.8,0.3,0.1,0.2,44.4,44.4
Cristiano Felicio,CHI,60,0.3,6.2,0.8,0.2,0.1,0.2,30,30
