PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Trey Lyles,UTA,80,1.1,15.8,0.91,1,0.4,1,41.6,44.8
Patrick Patterson,TOR,79,1,14.2,0.93,0.9,0.4,0.9,39.7,50
Julius Randle,LAL,81,1.3,9.4,0.73,0.9,0.4,1.1,37.2,37.8
Willie Cauley-Stein,SAC,66,1,14.2,1.14,1.1,0.5,0.8,57.4,57.4
Spencer Hawes,CHA,57,1.2,18.1,1.01,1.3,0.5,1.1,42.6,50.8
Robert Covington,PHI,67,0.8,5.5,1.35,1,0.3,0.7,51.1,71.1
Paul Pierce,LAC,68,1.2,16.3,0.87,1,0.4,1.1,33.8,45.3
Taj Gibson,CHI,73,1.1,12,0.88,0.9,0.4,0.9,43.8,43.8
Omer Asik,NOP,68,1,21.3,0.98,1,0.3,0.6,54.8,54.8
Luol Deng,MIA,74,0.9,7,1,0.9,0.3,0.7,38.5,45.2
Richaun Holmes,PHI,51,1.2,21.3,1.03,1.2,0.5,1,50,51
Terrence Jones,HOU,50,1.1,12,1.11,1.2,0.5,0.9,50,53.3
Nikola Mirotic,CHI,66,0.9,7.6,1.03,0.9,0.3,0.8,40.4,54.8
Carl Landry,PHI,36,1.5,17.3,1.13,1.7,0.8,1.3,58.3,59.4
Markieff Morris,WAS,27,2.1,15.9,1.09,2.3,1,1.9,53.8,55.8
Andrew Nicholson,ORL,56,1.3,18.6,0.84,1.1,0.4,1,36.4,45.5
David Lee,BOS,30,2.2,25.7,0.89,1.9,0.8,1.6,49,49
Ersan Ilyasova,DET,52,1.6,13.4,0.69,1.1,0.4,1.4,30.6,36.1
Kris Humphries,WAS,28,1.8,25.6,1.12,2,0.8,1.8,44.9,54.1
Derrick Williams,NYK,80,0.7,7.4,1.02,0.7,0.3,0.6,47.7,52.3
Festus Ezeli,GSW,46,1.1,16,1.06,1.2,0.5,0.8,57.9,57.9
Kyle O'Quinn,NYK,65,1.1,19.7,0.78,0.8,0.4,1,41.3,41.3
Jerami Grant,PHI,77,1.2,10.5,0.6,0.7,0.2,0.7,28.3,30.2
Channing Frye,ORL,44,1,20.6,1.15,1.2,0.4,0.9,45,62.5
Nemanja Bjelica,MIN,60,0.6,12.4,1.37,0.9,0.3,0.5,54.8,74.2
Willie Reed,BKN,39,1.1,25.3,1.18,1.3,0.5,0.8,64.5,64.5
Andrew Wiggins,MIN,81,0.6,2.8,1.04,0.6,0.2,0.5,43.6,46.2
Aaron Gordon,ORL,78,0.7,7,1,0.7,0.2,0.6,40.9,50
Rudy Gay,SAC,70,0.9,4.9,0.82,0.7,0.3,0.8,35.7,39.3
Tobias Harris,DET,27,1.7,10.8,1.11,1.9,0.7,1.4,51.3,59
Danilo Gallinari,DEN,53,0.7,4,1.26,0.9,0.3,0.5,48.3,56.9
Boris Diaw,SAS,76,0.8,11.4,0.84,0.6,0.3,0.6,44.4,50
David Lee,DAL,25,1.6,21.7,1.17,1.9,0.8,1.3,63.6,63.6
Jae Crowder,BOS,73,0.5,3.8,1.24,0.6,0.2,0.5,52.9,61.8
JJ Hickson,DEN,20,2.1,27.6,1.09,2.3,0.8,1.5,53.3,53.3
Noah Vonleh,POR,78,0.8,18.3,0.72,0.6,0.2,0.7,34.6,38.5
JaVale McGee,DAL,34,1.1,22.7,1.15,1.3,0.6,0.9,69,69
Cristiano Felicio,CHI,31,1.1,33.3,1.29,1.4,0.5,0.8,66.7,66.7
Anthony Tolliver,DET,72,0.6,10.8,1.07,0.6,0.2,0.5,41.2,57.4
Donatas Motiejunas,HOU,37,1.4,18.2,0.88,1.2,0.5,1,47.2,48.6
Charlie Villanueva,DAL,62,0.6,10.8,1.07,0.7,0.3,0.6,48.6,56.8
Tarik Black,LAL,40,1.1,28.9,1,1.1,0.5,0.9,55.6,55.6
Jeff Withey,UTA,51,0.8,18,1.08,0.8,0.3,0.5,53.6,53.6
Tobias Harris,ORL,49,0.9,6.3,0.98,0.9,0.3,0.7,48.5,51.5
Marcus Morris Sr.,DET,80,0.6,4.3,0.82,0.5,0.2,0.6,40,44.4
Nick Collison,OKC,59,0.7,25.6,0.91,0.7,0.3,0.5,53.3,53.3
Jabari Parker,MIL,76,0.7,4.9,0.73,0.5,0.2,0.6,32.6,32.6
Salah Mejri,DAL,34,0.9,23.4,1.34,1.1,0.4,0.6,78.9,78.9
Channing Frye,CLE,26,1.2,17.1,1.16,1.4,0.5,1.2,43.3,56.7
Al-Farouq Aminu,POR,82,0.4,4,1,0.4,0.1,0.4,37.9,48.3
Matt Barnes,MEM,76,0.4,3.3,1.21,0.5,0.2,0.3,50,64.6
Kevin Garnett,MIN,38,0.7,20,1.21,0.9,0.4,0.7,63,63
Quincy Acy,SAC,59,0.6,14.1,0.9,0.6,0.2,0.6,41.2,45.6
Larry Nance Jr.,LAL,63,0.7,11.5,0.83,0.5,0.3,0.6,44.4,44.4
Josh Smith,LAC,32,1.9,24.8,0.57,1.1,0.4,1.5,27.1,30.2
Andrew Bogut,GSW,70,0.5,9.7,0.89,0.5,0.2,0.5,48.5,48.5
Kendrick Perkins,NOP,38,0.8,24.2,1,0.8,0.3,0.6,59.1,59.1
Ersan Ilyasova,ORL,22,1.5,17.2,0.97,1.4,0.5,1.3,37.9,46.6
Wesley Johnson,LAC,80,0.4,5.8,0.91,0.4,0.2,0.4,37.5,48.4
Kevin Seraphin,NYK,49,0.7,13.6,0.86,0.6,0.3,0.6,46.7,46.7
Dante Cunningham,NOP,80,0.3,4.5,1.32,0.4,0.2,0.3,60,65
Giannis Antetokounmpo,MIL,80,0.4,2.5,0.83,0.4,0.2,0.4,42.9,44.6
Josh McRoberts,MIA,42,0.9,18.4,0.81,0.7,0.2,0.8,31.3,39.1
Otto Porter Jr.,WAS,75,0.3,2.6,1.27,0.4,0.2,0.3,60,65
Allen Crabbe,POR,81,0.3,3.2,1.12,0.3,0.1,0.2,50,62.5
Carmelo Anthony,NYK,72,0.4,1.7,0.97,0.4,0.1,0.3,37.5,41.7
Gordon Hayward,UTA,80,0.2,0.9,1.93,0.3,0.1,0.1,72.7,90.9
Chris McCullough,BKN,25,1.2,21.3,0.93,1.1,0.4,1,41.7,47.9
Jeff Green,LAC,27,0.9,7.5,1.08,1,0.3,0.8,42.9,50
Robert Sacre,LAL,25,1,23.6,1.04,1,0.5,1,50,50
Brandan Wright,MEM,12,2,33.3,1.04,2.1,1,1.8,57.1,57.1
Jonas Jerebko,BOS,78,0.6,11.8,0.57,0.3,0.1,0.5,23.7,27.6
Tiago Splitter,ATL,36,0.9,15.9,0.75,0.7,0.3,0.7,42.3,42.3
Johnny O'Bryant III,MIL,66,0.5,13.3,0.71,0.4,0.2,0.5,33.3,33.3
Henry Sims,BKN,14,1.5,20.4,1.05,1.6,0.6,1.2,52.9,52.9
Paul George,IND,81,0.3,1.1,1,0.3,0.1,0.2,35,47.5
Harrison Barnes,GSW,66,0.3,2.9,0.95,0.3,0.1,0.3,45,50
Khris Middleton,MIL,79,0.3,1.7,0.84,0.3,0.1,0.3,33.3,37.5
Kris Humphries,ATL,21,1.3,19.7,0.74,1,0.4,1.1,33.3,41.7
Michael Beasley,HOU,20,1.6,12.4,0.65,1,0.5,1.3,36,36
Chris Andersen,MEM,20,1,23.3,0.95,1,0.4,0.8,53.3,53.3
Omri Casspi,SAC,69,0.3,2.8,0.86,0.3,0.1,0.3,38.9,41.7
Patrick Beverley,HOU,71,0.2,1.9,1.29,0.3,0.1,0.2,57.1,64.3
Jeff Green,MEM,53,0.4,3.3,0.78,0.3,0.2,0.4,42.1,42.1
Josh Smith,HOU,23,1.2,13,0.64,0.8,0.3,1,30.4,34.8
Kyle Lowry,TOR,77,0.2,0.7,1.42,0.2,0.1,0.1,54.5,68.2
Kawhi Leonard,SAS,72,0.2,1.1,1.21,0.2,0.1,0.2,61.5,65.4
Jarell Martin,MEM,27,0.9,14.7,0.71,0.6,0.2,0.6,31.3,31.3
Solomon Hill,IND,59,0.2,5,1.23,0.3,0.1,0.2,63.6,68.2
Anderson Varejao,CLE,31,0.6,17.6,0.89,0.5,0.3,0.5,50,50
CJ Miles,IND,64,0.3,2.5,0.84,0.3,0.1,0.3,27.8,36.1
Luc Mbah a Moute,LAC,75,0.3,7.5,0.75,0.2,0.1,0.2,38.9,38.9
Drew Gooden,WAS,30,1.1,26.4,0.47,0.5,0.2,0.8,24,26
Jimmy Butler,CHI,67,0.2,0.9,1.17,0.2,0.1,0.2,54.5,54.5
Jason Thompson,TOR,19,0.7,17.1,1,0.7,0.3,0.6,41.7,45.8
Stephen Curry,GSW,79,0.2,0.7,0.93,0.2,0.1,0.2,38.5,53.8
Ryan Kelly,LAL,36,0.6,10.9,0.67,0.4,0.1,0.5,26.3,26.3
Ryan Hollins,MEM,18,0.6,14.3,1.3,0.7,0.3,0.4,71.4,71.4
Elton Brand,PHI,17,1.4,27.1,0.56,0.8,0.4,1.2,28.6,28.6
Trevor Ariza,HOU,81,0.2,1.3,0.86,0.1,0,0.2,30.8,46.2
Greg Smith,MIN,18,0.8,31.9,0.8,0.7,0.2,0.5,44.4,44.4
Joakim Noah,CHI,29,0.7,9.9,0.6,0.4,0.2,0.6,31.3,31.3
Nikola Pekovic,MIN,12,0.9,15.9,1,0.9,0.4,0.7,62.5,62.5
Kobe Bryant,LAL,66,0.2,0.9,0.83,0.2,0.1,0.2,36.4,45.5
Lance Thomas,NYK,59,0.2,2.5,0.83,0.2,0.1,0.2,44.4,44.4
Klay Thompson,GSW,80,0.2,0.9,0.71,0.1,0.1,0.2,30.8,38.5
Chandler Parsons,DAL,61,0.2,1.2,0.9,0.1,0,0.1,37.5,37.5
Wesley Matthews,DAL,78,0.2,1.3,0.69,0.1,0,0.1,20,30
P.J. Tucker,PHX,82,0.1,1.6,0.58,0.1,0,0.1,27.3,31.8
Maurice Harkless,POR,78,0.1,2.1,0.46,0.1,0,0.1,12.5,12.5
Tayshaun Prince,MIN,77,0.1,3.8,0.4,0.1,0,0.1,25,25
