PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Josh Richardson,MIA,81,0.3,2.4,0.73,0.2,0.1,0.2,47.4,50
Dragan Bender,PHX,82,0.2,2.4,0.93,0.2,0.1,0.1,45.5,45.5
Al-Farouq Aminu,POR,69,0.2,2.4,0.59,0.1,0.1,0.2,33.3,33.3
Myles Turner,IND,65,0.3,2.3,1,0.3,0.1,0.2,56.3,56.3
Pau Gasol,SAS,77,0.2,2.3,0.58,0.1,0.1,0.2,26.7,26.7
Ian Clark,NOP,74,0.2,2.3,0.46,0.1,0,0.2,25,25
Jusuf Nurkic,POR,79,0.4,2.2,0.54,0.2,0.1,0.3,23.8,23.8
Clint Capela,HOU,74,0.3,2.2,0.5,0.1,0.1,0.2,33.3,33.3
Trevor Ariza,HOU,67,0.2,2.2,0.5,0.1,0,0.2,23.1,26.9
Danny Green,SAS,70,0.2,2,0.85,0.2,0.1,0.2,38.5,38.5
Dwight Powell,DAL,79,0.1,1.9,0.18,0,0,0.1,10,10
Alex Len,PHX,69,0.1,1.8,1,0.1,0.1,0.1,57.1,57.1
Tyler Johnson,MIA,72,0.2,1.8,0.6,0.1,0.1,0.2,30.8,34.6
Ryan Anderson,HOU,66,0.2,1.8,0.7,0.1,0,0.1,20,20
Justin Holiday,CHI,72,0.2,1.6,1,0.2,0.1,0.2,45.5,50
Enes Freedom,NYK,71,0.2,1.5,0.71,0.1,0.1,0.2,41.7,41.7
Troy Daniels,PHX,79,0.1,1.5,0.6,0.1,0,0.1,25,37.5
Taj Gibson,MIN,82,0.1,1.3,1.33,0.2,0.1,0.1,70,70
Robin Lopez,CHI,64,0.2,1.3,1,0.2,0.1,0.2,50,50
