PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
D.J. Augustin,HOU,34,0,5.6,2.18,0.7,0.2,0.3,72.7,109.1
Cam Reddish,ATL,34,1,5.6,0.67,0.5,0.2,0.7,26.1,28.3
Derrick White,BOS,26,1,5.5,1.06,0.7,0.2,0.5,30.8,42.3
CJ McCollum,NOP,26,1,5.4,1.25,1.5,0.6,1,59.3,70.4
Rodney McGruder,DET,51,0,5.4,1.14,0.3,0.1,0.2,50,66.7
Mike Conley,UTA,72,1,5.3,1.11,0.8,0.3,0.6,45.5,59.1
Lonnie Walker IV,SAS,70,1,5.3,0.96,0.7,0.3,0.6,40,46.7
Jaylen Nowell,MIN,62,0,5.3,1,0.4,0.2,0.4,45.5,56.8
Lauri Markkanen,CLE,61,1,5.3,0.57,0.4,0.2,0.7,26.8,30.5
Ziaire Williams,MEM,62,0,5.3,0.46,0.2,0,0.3,9.5,14.3
Andrew Wiggins,GSW,73,1,5.2,0.91,0.8,0.3,0.8,33.9,45.8
Derrick White,SAS,49,1,5.2,0.71,0.6,0.2,0.7,30.3,36.4
Kristaps Porzingis,DAL,35,1,5.2,0.7,0.7,0.3,0.9,32.3,37.1
Karl-Anthony Towns,MIN,74,1,5.1,0.99,1.1,0.4,1,40.8,52.1
Collin Sexton,CLE,11,1,5.1,1,0.9,0.4,0.5,66.7,66.7
Christian Wood,HOU,68,1,5,1.17,1,0.4,0.8,45.5,60
Kyle Kuzma,WAS,66,1,5,0.82,0.7,0.3,0.8,35.8,45.3
Bones Hyland,DEN,69,1,5,1.17,0.6,0.2,0.5,39.4,56.1
Devin Vassell,SAS,71,1,5,0.88,0.5,0.2,0.5,40,44.3
Gabe Vincent,MIA,68,0,4.9,1.03,0.5,0.2,0.4,44.4,57.4
Jeremy Lamb,IND,39,0,4.9,0.93,0.3,0.1,0.2,22.2,33.3
Fred VanVleet,TOR,65,1,4.8,1.03,1,0.4,1,39.7,53.2
Chuma Okeke,ORL,70,0,4.8,1.09,0.5,0.2,0.4,43.3,56.7
Ricky Rubio,CLE,34,1,4.8,0.96,0.7,0.2,0.6,36.8,44.7
Garrett Temple,NOP,59,0,4.8,1,0.3,0.1,0.3,35.3,50
DeMar DeRozan,CHI,76,1,4.7,0.97,1.2,0.5,1.1,45,46.9
Tre Mann,OKC,60,1,4.7,0.94,0.5,0.2,0.5,40.7,53.7
Pat Connaughton,MIL,65,0,4.7,1,0.4,0.1,0.4,37.5,50
Jordan Nwora,MIL,62,0,4.7,0.92,0.4,0.1,0.4,36.4,43.2
Payton Pritchard,BOS,71,0,4.7,0.85,0.2,0.1,0.2,35.3,50
Carmelo Anthony,LAL,69,1,4.6,1.28,0.7,0.3,0.5,50,62.5
Nemanja Bjelica,GSW,71,0,4.5,1,0.3,0.1,0.3,31.6,47.4
Nicolas Batum,LAC,59,0,4.5,0.65,0.2,0.1,0.3,17.6,23.5
CJ Elleby,POR,58,0,4.5,0.67,0.2,0.1,0.2,30.8,38.5
De'Anthony Melton,MEM,73,1,4.4,0.87,0.5,0.2,0.4,35.5,50
Anthony Edwards,MIN,72,1,4.3,0.91,0.8,0.3,0.8,42.4,49.2
Harrison Barnes,SAC,77,1,4.3,1,0.6,0.2,0.5,41,48.7
Chris Duarte,IND,55,1,4.3,0.46,0.3,0.1,0.5,23.3,23.3
Taurean Prince,MIN,69,0,4.2,0.95,0.3,0.1,0.3,38.9,52.8
Juan Toscano-Anderson,GSW,73,0,4.2,1.21,0.2,0.1,0.1,70,75
Avery Bradley,LAL,62,0,4.1,1.44,0.4,0.1,0.2,60,76.7
Brandon Boston Jr.,LAC,51,0,4.1,0.81,0.3,0.1,0.2,41.7,45.8
Coby White,CHI,61,0,4,1.27,0.6,0.2,0.4,51.9,66.7
Kevin Love,CLE,74,1,4,0.84,0.4,0.1,0.4,32.3,43.5
Wesley Matthews,MIL,49,0,4,0.8,0.2,0.1,0.2,37.5,50
Donovan Mitchell,UTA,67,1,3.8,0.92,0.9,0.3,0.8,38.9,47.2
Franz Wagner,ORL,79,1,3.8,1.07,0.6,0.2,0.4,53.1,56.3
Marcus Morris Sr.,LAC,54,1,3.8,1.1,0.6,0.3,0.6,48.4,54.8
Jaden McDaniels,MIN,70,0,3.8,1.04,0.4,0.1,0.3,41.7,50
Luguentz Dort,OKC,51,1,3.8,0.73,0.5,0.2,0.6,27.6,34.5
Nassir Little,POR,42,0,3.8,1.53,0.5,0.2,0.3,61.5,84.6
Kristaps Porzingis,WAS,17,1,3.8,1.15,0.9,0.3,0.7,41.7,54.2
Caris LeVert,CLE,19,1,3.5,1,0.5,0.2,0.4,57.1,64.3
Cade Cunningham,DET,64,1,3.4,0.82,0.6,0.2,0.6,35,41.3
Brandon Williams,POR,24,1,3.4,0.61,0.3,0.1,0.4,30,35
Theo Maledon,OKC,51,0,3.3,0.79,0.2,0.1,0.2,40,45
D'Angelo Russell,MIN,65,1,3.2,0.82,0.5,0.2,0.5,33.3,40.9
Josh Richardson,BOS,44,0,3.2,0.85,0.3,0.1,0.3,41.7,45.8
Miles Bridges,CHA,80,1,3.1,0.89,0.5,0.2,0.5,34.2,44.7
Julius Randle,NYK,72,1,3.1,0.65,0.5,0.2,0.6,27.9,33.7
Will Barton,DEN,71,0,3.1,0.85,0.4,0.1,0.4,33.3,45
Kyrie Irving,BKN,29,1,3.1,1.17,0.9,0.3,0.7,50,62.5
Georges Niang,PHI,76,0,3.1,1.15,0.3,0.1,0.3,42.1,57.9
Tobias Harris,PHI,73,1,3,0.65,0.3,0.1,0.4,27.6,32.8
Austin Reaves,LAL,61,0,3,1.17,0.2,0.1,0.2,50,58.3
Anfernee Simons,POR,57,0,2.9,0.61,0.3,0.1,0.5,26.9,32.7
Dennis Schroder,BOS,49,0,2.8,1.05,0.4,0.1,0.3,43.8,56.3
O.G. Anunoby,TOR,48,0,2.8,0.96,0.5,0.2,0.4,38.1,52.4
Austin Rivers,DEN,67,0,2.8,0.33,0.1,0,0.1,20,20
Monte Morris,DEN,75,0,2.7,1.33,0.4,0.2,0.3,52.2,69.6
Talen Horton-Tucker,LAL,60,0,2.7,1.06,0.3,0.2,0.3,52.9,55.9
Anthony Davis,LAL,40,1,2.7,0.67,0.4,0.2,0.5,38.1,38.1
RJ Barrett,NYK,70,1,2.6,0.72,0.4,0.2,0.4,35.5,38.7
Kenrich Williams,OKC,49,0,2.6,0.9,0.2,0.1,0.2,44.4,50
Raul Neto,WAS,70,0,2.6,0.6,0.1,0.1,0.2,30.8,30.8
Kyle Anderson,MEM,69,0,2.4,0.71,0.1,0,0.2,25,29.2
Aleksej Pokusevski,OKC,61,0,2.3,1.15,0.2,0.1,0.2,54.5,68.2
Cam Thomas,BKN,67,0,2.3,0.57,0.1,0,0.2,25,25
LeBron James,LAL,56,1,2.2,1.03,0.6,0.2,0.5,40,50
Keldon Johnson,SAS,75,0,2.2,0.93,0.3,0.1,0.3,45.5,47.7
Caris LeVert,IND,39,0,2.2,1.35,0.6,0.2,0.4,60,76.7
Malcolm Brogdon,IND,36,0,2.2,0.67,0.3,0.1,0.3,25,37.5
Jalen Brunson,DAL,79,0,2.1,1.08,0.4,0.1,0.3,45.5,54.5
Dorian Finney-Smith,DAL,80,0,2.1,0.94,0.2,0.1,0.2,33.3,50
Deni Avdija,WAS,82,0,2.1,0.87,0.2,0.1,0.1,66.7,72.2
Shake Milton,PHI,55,0,2.1,0.5,0.1,0,0.2,20,25
Ja Morant,MEM,57,1,2,1,0.5,0.2,0.3,50,55.6
Jonas Valanciunas,NOP,74,0,2,1.08,0.4,0.1,0.3,45,50
Amir Coffey,LAC,69,0,2,1.46,0.2,0.1,0.1,60,70
Danilo Gallinari,ATL,66,0,2,0.36,0.1,0,0.2,14.3,17.9
LaMelo Ball,CHA,75,0,1.9,1.19,0.5,0.2,0.4,44.4,61.1
Terance Mann,LAC,81,0,1.9,1.06,0.2,0.1,0.2,46.2,46.2
Oshae Brissett,IND,67,0,1.9,1.17,0.2,0.1,0.2,45.5,63.6
Josh Hart,NOP,41,0,1.9,1,0.2,0.1,0.2,42.9,42.9
Jonathan Kuminga,GSW,71,0,1.9,0.42,0.1,0,0.1,25,31.3
Mo Bamba,ORL,71,0,1.8,1.69,0.3,0.1,0.2,61.5,84.6
Shai Gilgeous-Alexander,OKC,56,0,1.8,0.88,0.4,0.1,0.4,36.4,43.2
Marcus Smart,BOS,71,0,1.8,1.18,0.3,0.1,0.2,46.7,60
Immanuel Quickley,NYK,78,0,1.8,0.75,0.2,0.1,0.2,33.3,41.7
Kevin Porter Jr.,HOU,61,0,1.7,1,0.3,0.1,0.2,42.9,57.1
Herbert Jones,NOP,78,0,1.7,1.15,0.2,0.1,0.1,45.5,45.5
Dejounte Murray,SAS,68,0,1.6,0.88,0.3,0.1,0.3,42.1,52.6
Tyrese Haliburton,SAC,51,0,1.6,1.17,0.3,0.1,0.2,45.5,63.6
Jeff Green,DEN,75,0,1.6,1,0.1,0,0.1,30,45
Jalen Suggs,ORL,48,0,1.6,0.92,0.2,0.1,0.2,45.5,50
Hamidou Diallo,DET,58,0,1.6,0.5,0.1,0,0.1,16.7,16.7
Aaron Gordon,DEN,75,0,1.5,1.19,0.3,0.1,0.2,40,56.7
Darius Bazley,OKC,69,0,1.5,0.92,0.2,0.1,0.1,44.4,50
Cole Anthony,ORL,66,0,1.5,0.56,0.2,0,0.2,18.8,21.9
Davion Mitchell,SAC,75,0,1.4,0.79,0.1,0.1,0.2,30.8,42.3
John Collins,ATL,54,0,1.4,0.82,0.2,0.1,0.2,30,45
Bobby Portis,MIL,72,0,1.3,1.77,0.3,0.1,0.2,63.6,81.8
Tyrese Maxey,PHI,75,0,1.3,1,0.2,0.1,0.2,46.2,57.7
Nikola Vucevic,CHI,73,0,1.3,0.82,0.2,0.1,0.2,50,50
Trae Young,ATL,76,0,1.2,1.42,0.4,0.2,0.2,70.6,88.2
Reggie Jackson,LAC,75,0,1.2,1.29,0.3,0.1,0.2,50,65.6
Luka Doncic,DAL,65,0,1.2,1,0.3,0.1,0.3,47.1,55.9
Jrue Holiday,MIL,67,0,1.2,0.86,0.2,0.1,0.1,40,40
Jimmy Butler,MIA,58,0,0.9,1.1,0.2,0.1,0.2,50,50
Joel Embiid,PHI,68,0,0.8,0.8,0.2,0.1,0.2,40,40
Russell Westbrook,LAL,78,0,0.7,1.42,0.2,0.1,0.2,66.7,70.8
Giannis Antetokounmpo,MIL,67,0,0.6,1.36,0.2,0.1,0.2,63.6,68.2
