PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Larry Nance Jr.,CLE,24,1,13,0.96,1,0.5,1,52.2,52.2
Jeremy Lamb,CHA,80,0.3,2.6,0.92,0.3,0.2,0.3,46.2,46.2
Tarik Black,HOU,51,0.6,16.6,0.77,0.5,0.2,0.4,50,50
Evan Turner,POR,79,0.2,2.4,1.35,0.3,0.1,0.2,69.2,69.2
Jrue Holiday,NOP,81,0.2,1.3,1.15,0.3,0.1,0.2,57.9,60.5
Jayson Tatum,BOS,80,0.3,2.1,1.04,0.3,0.1,0.2,56.3,56.3
Tyler Cavanaugh,ATL,39,0.6,14.3,0.92,0.6,0.3,0.6,45.5,45.5
Justin Jackson,SAC,68,0.3,3.6,1.29,0.3,0.2,0.2,68.8,68.8
JaKarr Sampson,SAC,22,0.8,17.7,1.29,1,0.5,0.7,66.7,66.7
Stanley Johnson,DET,69,0.3,2.7,1.16,0.3,0.1,0.2,60,60
Dwyane Wade,CLE,46,0.4,3.4,1.1,0.5,0.2,0.4,64.7,64.7
Noah Vonleh,CHI,21,1,12.9,1.05,1,0.4,0.9,50,50
Dillon Brooks,MEM,82,0.3,2.2,1.05,0.3,0.1,0.2,56.3,56.3
Tim Hardaway Jr.,NYK,59,0.4,2.3,0.92,0.4,0.2,0.4,45.5,47.7
Treveon Graham,CHA,63,0.4,9.5,0.85,0.3,0.1,0.3,40.9,40.9
Nerlens Noel,DAL,31,0.9,19,0.81,0.7,0.3,0.7,42.9,42.9
Lonzo Ball,LAL,52,0.6,4,0.76,0.4,0.2,0.5,42.3,42.3
Anthony Tolliver,DET,79,0.2,2.9,1.24,0.3,0.1,0.2,61.5,61.5
Timofey Mozgov,BKN,31,0.6,12.9,1.17,0.7,0.3,0.5,64.3,64.3
Emeka Okafor,NOP,26,0.8,16.9,1.05,0.8,0.3,0.7,50,50
Dennis Smith Jr.,DAL,69,0.3,1.6,1,0.3,0.1,0.2,52.9,52.9
Al Jefferson,IND,36,0.6,9.2,0.95,0.6,0.3,0.5,47.4,47.4
Terry Rozier,BOS,80,0.3,2.3,0.95,0.3,0.1,0.2,52.6,55.3
Nikola Mirotic,CHI,25,0.5,3.3,1.67,0.8,0.4,0.4,81.8,81.8
Devin Booker,PHX,54,0.3,1,1.43,0.4,0.2,0.3,71.4,71.4
Trevor Booker,IND,17,1.2,21.4,0.95,1.2,0.6,1.1,55.6,55.6
Gary Harris,DEN,67,0.2,1.1,1.58,0.3,0.1,0.1,77.8,83.3
Ben McLemore,MEM,56,0.3,3.5,1.19,0.3,0.1,0.2,61.5,61.5
O.G. Anunoby,TOR,74,0.2,4.1,1.12,0.3,0.1,0.2,64.3,64.3
Patrick Patterson,OKC,82,0.2,5.3,1.12,0.2,0.1,0.1,58.3,58.3
Brandan Wright,MEM,28,0.6,14,1.12,0.7,0.3,0.5,50,50
Mario Hezonja,ORL,75,0.3,2.5,1,0.3,0.1,0.2,53.3,53.3
Andre Iguodala,GSW,64,0.3,4.5,1,0.3,0.1,0.3,50,50
Tomas Satoransky,WAS,73,0.3,4.7,0.79,0.3,0.1,0.3,36.8,36.8
Goran Dragic,MIA,75,0.4,2.1,0.68,0.3,0.1,0.3,30.4,30.4
Kyle Lowry,TOR,78,0.4,2.4,0.66,0.2,0.1,0.2,38.9,41.7
Derrick Jones Jr.,MIA,14,1,22.2,1.29,1.3,0.6,0.9,66.7,66.7
Wes Iwundu,ORL,62,0.3,7.4,0.9,0.3,0.1,0.3,44.4,44.4
Josh Huestis,OKC,69,0.3,10.6,0.78,0.3,0.1,0.3,40.9,40.9
Bojan Bogdanovic,IND,80,0.2,1.3,1.21,0.2,0.1,0.2,57.1,57.1
Dante Cunningham,BKN,22,0.6,8.6,1.21,0.8,0.4,0.5,66.7,66.7
Reggie Bullock,DET,62,0.2,2.3,1.21,0.3,0.1,0.2,60,60
Dante Cunningham,NOP,51,0.4,7.4,0.9,0.3,0.1,0.3,50,50
Shelvin Mack,ORL,69,0.2,2,1.46,0.2,0.1,0.1,75,75
Dorian Finney-Smith,DAL,21,0.6,8.1,1.33,0.8,0.4,0.5,72.7,72.7
Kyrie Irving,BOS,60,0.2,1,1.23,0.3,0.1,0.2,61.5,61.5
De'Aaron Fox,SAC,73,0.2,1.2,1.23,0.2,0.1,0.2,72.7,72.7
Thabo Sefolosha,UTA,38,0.4,5.4,1,0.4,0.2,0.4,50,50
Troy Williams,NYK,17,1,13.2,0.94,0.9,0.4,0.9,46.7,46.7
Elfrid Payton,ORL,44,0.5,3.4,0.76,0.4,0.2,0.3,46.7,50
Jabari Parker,MIL,31,0.7,5.7,0.7,0.5,0.3,0.6,40,40
Lance Thomas,NYK,73,0.4,8.4,0.57,0.2,0.1,0.3,29.2,29.2
Ricky Rubio,UTA,77,0.1,0.9,1.5,0.2,0.1,0.1,87.5,87.5
Jalen Jones,DAL,12,0.8,12.8,1.5,1.3,0.5,0.8,66.7,72.2
Jahlil Okafor,BKN,26,0.5,8.3,1.15,0.6,0.3,0.5,58.3,58.3
Stephen Curry,GSW,51,0.3,1.2,1.07,0.3,0.1,0.2,55.6,66.7
Josh Hart,LAL,63,0.3,3.7,0.88,0.2,0.1,0.2,46.2,46.2
Marcus Smart,BOS,54,0.4,3.1,0.68,0.3,0.1,0.3,21.4,21.4
Tyreke Evans,MEM,52,0.5,2.7,0.56,0.3,0.1,0.4,25,25
John Wall,WAS,41,0.2,1.1,1.4,0.3,0.1,0.2,62.5,75
Johnny O'Bryant III,CHA,36,0.3,5.6,1.27,0.4,0.2,0.3,60,60
