LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5,
K. Korver - T. Sefolosha - P. Millsap - A. Horford - J. Teague,ATL,45,235,100.4,94.5,5.9,62.4,1.64,18.2,21.8,68.1,46.6,0.1,51.9,54.7,100.45,54.1,K. Korver , T. Sefolosha , P. Millsap , A. Horford , J. Teague,
M. Gortat - J. Dudley - J. Wall - B. Beal - O. Porter Jr.,WAS,30,230,110.4,97.6,12.8,67.9,1.92,20.6,25.3,73,48.8,0.2,54.7,57.4,102.58,55.6,M. Gortat , J. Dudley , J. Wall , B. Beal , O. Porter Jr.,
C. Anthony - S. Vujacic - J. Calderon - R. Lopez - K. Porzingis,NYK,17,229,101.3,97.6,3.7,64.2,1.71,17.7,29,76.8,53,0.1,47.8,51.4,96.53,50.4,C. Anthony , S. Vujacic , J. Calderon , R. Lopez , K. Porzingis,
L. Scola - K. Lowry - D. DeRozan - D. Carroll - J. Valanciunas,TOR,15,229,104.3,106.6,-2.3,57.1,1.51,16.3,31.7,76.8,52.1,0.1,49.8,53.1,96.06,46.2,L. Scola , K. Lowry , D. DeRozan , D. Carroll , J. Valanciunas,
K. Bryant - L. Williams - R. Hibbert - J. Clarkson - L. Nance Jr.,LAL,18,221,96.4,116.2,-19.8,53.2,1.51,15.7,21.6,70.7,45.2,0.1,47.6,50.3,97.57,38.2,K. Bryant , L. Williams , R. Hibbert , J. Clarkson , L. Nance Jr.,
J. Johnson - J. Jack - T. Young - B. Lopez - R. Hollis-Jefferson,BKN,16,220,98.7,96.6,2.1,53.6,1.3,15.4,31.2,79.2,55.2,0.2,46.9,50.9,100.88,50.8,J. Johnson , J. Jack , T. Young , B. Lopez , R. Hollis-Jefferson,
P. Gasol - D. Rose - T. Gibson - J. Butler - T. Snell,CHI,22,220,93.5,92.5,1.1,51.9,1.53,14.7,24.5,68.5,48.7,0.1,43.9,48.2,95.24,54,P. Gasol , D. Rose , T. Gibson , J. Butler , T. Snell,
N. Vucevic - E. Fournier - V. Oladipo - E. Payton - A. Gordon,ORL,22,219,102.3,107,-4.7,65.4,1.87,19,28.6,74.8,51.1,0.1,50.5,53,103.16,48.5,N. Vucevic , E. Fournier , V. Oladipo , E. Payton , A. Gordon,
D. DeRozan - P. Patterson - B. Biyombo - C. Joseph - T. Ross,TOR,54,218,101.8,89.1,12.7,45.5,1.42,12.3,32.5,71.6,52.5,0.1,46.7,53.3,99.22,58.8,D. DeRozan , P. Patterson , B. Biyombo , C. Joseph , T. Ross,
P. Gasol - D. Rose - N. Mirotic - J. Butler - T. Snell,CHI,26,203,102.1,103.1,-1,63.1,1.87,17.5,25,66.8,46.3,0.1,47.5,51.7,99.4,50.6,P. Gasol , D. Rose , N. Mirotic , J. Butler , T. Snell,
D. Howard - T. Ariza - C. Brewer - J. Harden - P. Beverley,HOU,41,201,102.6,111.3,-8.7,60.7,1.4,16.1,29.2,61.9,45.6,0.2,52.7,55.7,101.75,43.3,D. Howard , T. Ariza , C. Brewer , J. Harden , P. Beverley,
T. Chandler - R. Price - P. Tucker - A. Len - D. Booker,PHX,14,200,96.8,99,-2.2,55.8,0.98,14.6,36,76.4,55.6,0.2,46.6,50.4,97.69,47.1,T. Chandler , R. Price , P. Tucker , A. Len , D. Booker,
L. James - J. Smith - K. Love - T. Thompson - M. Dellavedova,CLE,46,199,119.1,93.9,25.3,62.4,2.58,18.2,33.5,78.2,55.3,0.1,53.8,58,95.38,62.3,L. James , J. Smith , K. Love , T. Thompson , M. Dellavedova,
