LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5,
T. Ariza - C. Brewer - J. Harden - P. Beverley - C. Capela,HOU,22,75,121.5,91.5,30,59.4,1.58,17.5,27,75.4,51.6,0.1,62.6,66.5,105.52,63.8,T. Ariza , C. Brewer , J. Harden , P. Beverley , C. Capela,
M. Ellis - R. Stuckey - J. Hill - P. George - L. Allen,IND,26,74,106.3,97.4,8.9,51.6,1.52,14.7,38.5,66.7,52.6,0.1,49.3,54.2,101.18,54.3,M. Ellis , R. Stuckey , J. Hill , P. George , L. Allen,
O. Mayo - J. Bayless - G. Monroe - K. Middleton - G. Antetokounmpo,MIL,10,74,92.5,102.6,-10.2,69.8,1.48,19.1,15.1,76.4,45.5,0.2,49.6,52,96.2,41.2,O. Mayo , J. Bayless , G. Monroe , K. Middleton , G. Antetokounmpo,
S. Hawes - J. Lin - K. Walker - J. Lamb - F. Kaminsky,CHA,21,74,99.4,88.5,10.9,62.3,1.5,16.3,26.8,64.6,48.8,0.1,50,55.6,101.38,61.7,S. Hawes , J. Lin , K. Walker , J. Lamb , F. Kaminsky,
T. Prince - N. Bjelica - G. Dieng - S. Muhammad - Z. LaVine,MIN,12,74,99.3,111.6,-12.3,51.9,1.12,14.5,27.4,67.6,48.5,0.2,51.8,57.4,96.08,46,T. Prince , N. Bjelica , G. Dieng , S. Muhammad , Z. LaVine,
G. Henderson - A. Aminu - D. Lillard - C. McCollum - M. Plumlee,POR,23,73,99.4,105.3,-6,62.7,1.68,15.4,21.6,74.6,47.6,0.1,48.7,54.8,101.35,52,G. Henderson , A. Aminu , D. Lillard , C. McCollum , M. Plumlee,
K. Korver - P. Millsap - A. Horford - K. Bazemore - D. Schroder,ATL,17,73,112.4,96.4,16,59,1.64,17.1,31.5,60.3,45.4,0.1,52.7,57.2,96.94,56.6,K. Korver , P. Millsap , A. Horford , K. Bazemore , D. Schroder,
L. James - K. Love - T. Thompson - I. Shumpert - M. Dellavedova,CLE,25,73,108.6,101.3,7.3,53.6,1.88,14.8,30.6,78.8,53.6,0.1,52.9,57,100.12,51.8,L. James , K. Love , T. Thompson , I. Shumpert , M. Dellavedova,
P. Pierce - J. Crawford - J. Smith - W. Johnson - A. Rivers,LAC,14,73,71.6,105.9,-34.3,44.7,0.94,9.4,14.9,64.4,37.5,0.1,35.5,40.8,100.86,23.6,P. Pierce , J. Crawford , J. Smith , W. Johnson , A. Rivers,
T. Chandler - P. Tucker - A. Len - A. Goodwin - D. Booker,PHX,9,73,82.6,104,-21.4,67.4,1,15.7,25,75,50,0.2,43.5,47,98.4,36,T. Chandler , P. Tucker , A. Len , A. Goodwin , D. Booker,
A. Tolliver - R. Jackson - A. Drummond - K. Caldwell-Pope - S. Johnson,DET,28,72,94.2,99.4,-5.1,36.2,1.24,10.3,30.4,81.2,52.2,0.1,45.3,47,104.14,41.9,A. Tolliver , R. Jackson , A. Drummond , K. Caldwell-Pope , S. Johnson,
K. Korver - A. Horford - M. Scott - D. Schroder - T. Hardaway Jr.,ATL,25,72,98.7,90,8.7,79.6,1.87,20.6,21.1,67.5,45.3,0.1,51.2,54.5,101.02,50.2,K. Korver , A. Horford , M. Scott , D. Schroder , T. Hardaway Jr.,
R. Gay - R. Rondo - M. Belinelli - K. Koufos - D. Collison,SAC,22,72,84.5,114.6,-30.1,59.2,1.32,14.6,19.2,65,39.1,0.1,41.7,46.8,104.12,30.6,R. Gay , R. Rondo , M. Belinelli , K. Koufos , D. Collison,
Z. Randolph - M. Barnes - M. Conley - M. Gasol - C. Lee,MEM,19,72,104.1,111.1,-7,63.6,2.06,17.2,29.2,76.6,51.5,0.1,49.2,53.2,97.64,46.7,Z. Randolph , M. Barnes , M. Conley , M. Gasol , C. Lee,
A. Johnson - E. Turner - I. Thomas - J. Crowder - K. Olynyk,BOS,9,71,97.2,101.4,-4.2,57.1,2.91,16.1,29.1,65.7,45.5,0.1,43.2,46.8,96.11,48.3,A. Johnson , E. Turner , I. Thomas , J. Crowder , K. Olynyk,
B. Bass - N. Young - J. Clarkson - J. Randle - D. Russell,LAL,18,71,91.4,112.3,-20.9,51.2,1.16,11.5,36,65.7,49.4,0.1,38.2,44.5,97.01,34,B. Bass , N. Young , J. Clarkson , J. Randle , D. Russell,
B. Jennings - E. Fournier - D. Dedmon - V. Oladipo - A. Gordon,ORL,8,71,111.2,109.6,1.6,53.3,2,16.7,25.7,73.4,48.5,0.1,51.9,56.2,98.01,50.8,B. Jennings , E. Fournier , D. Dedmon , V. Oladipo , A. Gordon,
D. Howard - T. Ariza - J. Harden - T. Lawson - T. Jones,HOU,16,71,102.6,109.7,-7.1,66.7,1.71,16.9,27.8,71.6,47.9,0.1,47.6,53.6,104.56,46.1,D. Howard , T. Ariza , J. Harden , T. Lawson , T. Jones,
K. Lowry - J. Thompson - D. DeRozan - J. Valanciunas - N. Powell,TOR,5,71,117.3,94.8,22.5,63.8,1.95,20.2,23.6,62.7,46.2,0.1,58.9,63,90.84,65.7,K. Lowry , J. Thompson , D. DeRozan , J. Valanciunas , N. Powell,
M. Ginobili - D. West - B. Diaw - P. Mills - K. Anderson,SAS,20,71,102.8,108.1,-5.3,62.3,2.38,19.5,24.2,62.7,43.6,0.1,52.4,54.5,99.3,47,M. Ginobili , D. West , B. Diaw , P. Mills , K. Anderson,
M. Williams - N. Batum - K. Walker - M. Kidd-Gilchrist - C. Zeller,CHA,4,71,119,94.4,24.6,54.1,1.5,17.7,18.3,82.9,54.4,0.2,60.8,63.9,96.1,61.5,M. Williams , N. Batum , K. Walker , M. Kidd-Gilchrist , C. Zeller,
P. Pierce - C. Paul - J. Redick - J. Green - D. Jordan,LAC,9,71,110.7,117.7,-7,61.9,2.29,21.7,1.7,63.3,37,0.1,60.3,61.2,97.36,45.8,P. Pierce , C. Paul , J. Redick , J. Green , D. Jordan,
R. Gay - M. Belinelli - K. Koufos - D. Collison - O. Casspi,SAC,25,71,97.9,100.7,-2.8,60.7,2,16.9,29.9,67.6,48,0.1,46.2,50,97.89,49.7,R. Gay , M. Belinelli , K. Koufos , D. Collison , O. Casspi,
R. Gay - R. Rondo - D. Collison - D. Cousins - W. Cauley-Stein,SAC,13,71,115.4,93,22.4,64.1,2.05,19,33.9,77.5,59,0.1,55.9,61.3,105.9,69.8,R. Gay , R. Rondo , D. Collison , D. Cousins , W. Cauley-Stein,
D. Gallinari - K. Faried - J. Lauvergne - G. Harris - E. Mudiay,DEN,12,70,98.6,108.3,-9.7,67.3,1.37,18.5,27.5,64.5,46.9,0.2,50,53.5,99.04,44.1,D. Gallinari , K. Faried , J. Lauvergne , G. Harris , E. Mudiay,
D. Howard - T. Ariza - M. Beasley - J. Harden - P. Beverley,HOU,15,70,99.3,117.4,-18.1,61.1,1.38,17.3,20,67.2,43.4,0.2,52.2,55.8,100.84,40,D. Howard , T. Ariza , M. Beasley , J. Harden , P. Beverley,
G. Hayward - T. Booker - R. Gobert - R. Neto - R. Hood,UTA,23,70,98.6,102.9,-4.3,44,0.76,12.3,36.8,78.7,58.5,0.2,53.8,58,95.18,47.4,G. Hayward , T. Booker , R. Gobert , R. Neto , R. Hood,
J. Calderon - A. Afflalo - R. Lopez - L. Thomas - K. Porzingis,NYK,8,70,97.7,116.4,-18.7,49.1,1.23,15.6,22.8,68.1,48.1,0.2,53.6,55.3,91.41,42.6,J. Calderon , A. Afflalo , R. Lopez , L. Thomas , K. Porzingis,
J. Johnson - T. Young - B. Lopez - D. Sloan - B. Bogdanovic,BKN,15,70,110.2,102,8.2,55,1.32,16.9,24.2,77.3,53.3,0.2,57.8,60.9,101.17,55.6,J. Johnson , T. Young , B. Lopez , D. Sloan , B. Bogdanovic,
M. Gortat - J. Dudley - G. Temple - J. Wall - B. Beal,WAS,20,70,112.3,94.5,17.8,60,2.25,17.6,32.9,76.2,53.4,0.1,52,56,100.09,59.7,M. Gortat , J. Dudley , G. Temple , J. Wall , B. Beal,
C. Anthony - J. Calderon - A. Afflalo - R. Lopez - D. Williams,NYK,20,69,94.3,117.4,-23.1,44.9,1.16,12.4,26.1,69.1,47.4,0.1,44.7,50,96.32,38,C. Anthony , J. Calderon , A. Afflalo , R. Lopez , D. Williams,
C. Anthony - S. Vujacic - R. Lopez - D. Williams - J. Grant,NYK,5,69,109.2,104.5,4.6,53.8,1.27,16,26.2,67.4,50.3,0.2,54.5,58.1,92.43,53.8,C. Anthony , S. Vujacic , R. Lopez , D. Williams , J. Grant,
J. Johnson - T. Young - B. Lopez - W. Ellington - S. Larkin,BKN,23,69,92.3,92.8,-0.5,50,1.29,14.8,22.7,70.3,47.9,0.1,48.7,51.9,97.53,48.9,J. Johnson , T. Young , B. Lopez , W. Ellington , S. Larkin,
L. Scola - K. Lowry - D. DeRozan - B. Biyombo - N. Powell,TOR,9,69,120.7,103,17.8,58.9,1.74,16.5,42.7,68.1,55.1,0.1,52.4,56.2,93.6,54.6,L. Scola , K. Lowry , D. DeRozan , B. Biyombo , N. Powell,
N. Batum - J. Lin - K. Walker - C. Zeller - F. Kaminsky,CHA,19,69,110.8,99.3,11.5,59.2,1.32,14.3,35.1,73.1,54.6,0.1,47.9,56.2,101.58,56.7,N. Batum , J. Lin , K. Walker , C. Zeller , F. Kaminsky,
O. Asik - D. Cunningham - N. Cole - A. Davis - B. Dejean-Jones,NOP,7,69,107.4,105.9,1.4,51.6,2.2,17.6,29,73.9,51.4,0.1,51.2,52.6,94.19,50.8,O. Asik , D. Cunningham , N. Cole , A. Davis , B. Dejean-Jones,
P. Gasol - D. Rose - T. Gibson - J. Butler - D. McDermott,CHI,27,69,107.7,100,7.7,50.9,1.93,14.6,23.5,69.7,49.7,0.1,50.4,55.9,98.58,56.3,P. Gasol , D. Rose , T. Gibson , J. Butler , D. McDermott,
R. Anderson - J. Holiday - T. Douglas - A. Gee - A. Davis,NOP,18,69,104.5,89.5,15,68.3,2.53,20.4,23.6,80,51.4,0.1,55.4,56.7,107.11,61.3,R. Anderson , J. Holiday , T. Douglas , A. Gee , A. Davis,
R. Rubio - G. Dieng - S. Muhammad - A. Wiggins - K. Towns,MIN,20,69,112.9,87.3,25.6,63.8,1.61,17.2,45.6,77.6,61.5,0.2,49.6,56.7,102.98,67,R. Rubio , G. Dieng , S. Muhammad , A. Wiggins , K. Towns,
M. Williams - S. Hawes - J. Lin - K. Walker - P. Hairston,CHA,7,68,108.5,100.7,7.8,56.9,2.23,15.3,26,77.9,50.3,0.1,47.2,54,100.39,54.1,M. Williams , S. Hawes , J. Lin , K. Walker , P. Hairston,
R. Gay - R. Rondo - D. Collison - D. Cousins - Q. Acy,SAC,10,68,98.6,93.6,5,56.6,1.5,15.6,23.9,71.6,48.9,0.1,49.2,53.4,100.91,56.2,R. Gay , R. Rondo , D. Collison , D. Cousins , Q. Acy,
A. Jefferson - M. Williams - N. Batum - K. Walker - J. Lamb,CHA,10,67,100.7,97.8,2.9,43.9,1.56,14.3,20,70.7,47.1,0.1,51.7,54.4,99.06,54.3,A. Jefferson , M. Williams , N. Batum , K. Walker , J. Lamb,
C. Anthony - A. Afflalo - R. Lopez - L. Thomas - L. Galloway,NYK,21,67,105.3,90.7,14.5,49,1.09,14.3,33.3,77.9,59.5,0.2,52.9,58.4,97.54,61.7,C. Anthony , A. Afflalo , R. Lopez , L. Thomas , L. Galloway,
E. Turner - A. Bradley - I. Thomas - J. Sullinger - J. Crowder,BOS,29,67,111,86.1,24.9,67.9,1.89,16.2,28.2,69.1,47.3,0.1,47.6,56.8,110.1,67,E. Turner , A. Bradley , I. Thomas , J. Sullinger , J. Crowder,
K. Lowry - P. Patterson - J. Valanciunas - C. Joseph - T. Ross,TOR,16,67,123.6,99.2,24.4,58.6,2.13,19.7,30.2,61,46.4,0.1,61.6,62.9,86.78,64.2,K. Lowry , P. Patterson , J. Valanciunas , C. Joseph , T. Ross,
T. Harris - E. Fournier - D. Dedmon - V. Oladipo - E. Payton,ORL,7,67,91.2,99.3,-8,54.3,1.14,13.4,29.6,75,50.3,0.2,42.1,46.3,97.8,42.5,T. Harris , E. Fournier , D. Dedmon , V. Oladipo , E. Payton,
T. Prince - R. Rubio - N. Bjelica - A. Wiggins - K. Towns,MIN,20,67,96.5,79.1,17.3,58.3,1.65,14.8,28.4,71.4,50.3,0.1,41.8,49.3,97.9,69.9,T. Prince , R. Rubio , N. Bjelica , A. Wiggins , K. Towns,
Z. Randolph - C. Andersen - M. Barnes - T. Allen - J. Farmar,MEM,5,67,82.3,115.4,-33.2,57.1,1,12.9,45.5,65.5,53.1,0.2,35,38.2,88.19,26.6,Z. Randolph , C. Andersen , M. Barnes , T. Allen , J. Farmar,
A. Bradley - I. Thomas - J. Sullinger - J. Crowder - M. Smart,BOS,23,66,113.3,110.2,3.1,58.7,3.08,18.3,25,67.8,44.3,0.1,54.3,58,107.81,49.1,A. Bradley , I. Thomas , J. Sullinger , J. Crowder , M. Smart,
J. Johnson - J. Jack - T. Young - B. Lopez - M. Brown,BKN,9,66,111.6,115.2,-3.5,64.4,1.9,20.4,35.7,83.6,59.5,0.2,55.9,58.4,94.68,49,J. Johnson , J. Jack , T. Young , B. Lopez , M. Brown,
J. Nelson - D. Gallinari - K. Faried - W. Barton - G. Harris,DEN,12,66,112.7,103.8,8.9,59.3,2.91,16.8,37.8,72.9,53.4,0.1,46.4,52.5,96.28,52.2,J. Nelson , D. Gallinari , K. Faried , W. Barton , G. Harris,
A. Johnson - A. Bradley - I. Thomas - J. Sullinger - M. Smart,BOS,14,65,106.8,107.7,-0.9,68.5,2.18,19.2,34.7,74.6,52.9,0.1,48.4,51.5,96.74,49.2,A. Johnson , A. Bradley , I. Thomas , J. Sullinger , M. Smart,
D. Augustin - D. Arthur - W. Barton - J. Lauvergne - A. Toupane,DEN,9,65,112.9,103.1,9.8,63.2,1.89,20.3,22.6,76.5,52.9,0.1,59.2,62.5,95.75,57.4,D. Augustin , D. Arthur , W. Barton , J. Lauvergne , A. Toupane,
D. Howard - T. Ariza - J. Harden - P. Beverley - M. Thornton,HOU,18,65,119.6,94.8,24.8,57.4,1.63,16.9,28.1,69.6,48.7,0.1,58.7,63.2,100.16,60.2,D. Howard , T. Ariza , J. Harden , P. Beverley , M. Thornton,
E. Gordon - R. Anderson - A. Gee - I. Smith - A. Davis,NOP,12,65,100,100,0,61.2,1.15,15.2,23.9,69.7,48.3,0.2,48.2,56.1,111.56,55.5,E. Gordon , R. Anderson , A. Gee , I. Smith , A. Davis,
J. Nelson - D. Gallinari - K. Faried - J. Lauvergne - G. Harris,DEN,6,65,112.5,127.9,-15.4,64,1.68,18.5,35.6,76.4,55.3,0.2,52.9,56.8,90.05,43,J. Nelson , D. Gallinari , K. Faried , J. Lauvergne , G. Harris,
J. Smith - E. Fournier - V. Oladipo - E. Payton - A. Gordon,ORL,12,65,102.1,113.7,-11.5,58.3,2.33,18.3,23.9,75.9,46.4,0.1,50.4,52.5,103.65,42.6,J. Smith , E. Fournier , V. Oladipo , E. Payton , A. Gordon,
J. Bayless - M. Plumlee - K. Middleton - G. Antetokounmpo - J. Parker,MIL,12,64,106.8,95.6,11.1,60.4,1.52,18,23.6,69.9,50,0.2,55.9,59.6,101.31,59.1,J. Bayless , M. Plumlee , K. Middleton , G. Antetokounmpo , J. Parker,
J. Nelson - K. Faried - K. Papanikolaou - J. Lauvergne - G. Harris,DEN,5,63,83.1,117.5,-34.4,56.8,1,14.9,29,70.2,47.6,0.2,43.8,44.6,94.91,29.4,J. Nelson , K. Faried , K. Papanikolaou , J. Lauvergne , G. Harris,
K. Bryant - B. Bass - L. Williams - J. Randle - D. Russell,LAL,22,63,87.8,96.5,-8.7,35.6,0.55,9.4,26.9,77,50.8,0.2,45.9,50,106.21,37.3,K. Bryant , B. Bass , L. Williams , J. Randle , D. Russell,
T. Ariza - J. Harden - T. Lawson - M. Thornton - C. Capela,HOU,10,63,123.4,106.3,17.2,60.4,1.68,18.3,27.6,64.4,46.2,0.1,60.3,64.1,97.19,54.2,T. Ariza , J. Harden , T. Lawson , M. Thornton , C. Capela,
T. Parker - B. Diaw - L. Aldridge - D. Green - K. Leonard,SAS,16,63,111.4,90,21.4,52.8,1.22,16.2,29.4,77.6,56.8,0.2,58,63.2,100.2,61.8,T. Parker , B. Diaw , L. Aldridge , D. Green , K. Leonard,
A. Stoudemire - D. Wade - L. Deng - G. Dragic - J. Winslow,MIA,14,62,87.4,82.6,4.8,58.3,1.33,15.4,26.3,75.9,51.6,0.2,42.1,45.3,103.01,54.8,A. Stoudemire , D. Wade , L. Deng , G. Dragic , J. Winslow,
C. Miles - M. Ellis - R. Stuckey - J. Hill - P. George,IND,18,62,110.5,102.9,7.6,52,1.63,15.3,21.4,67.1,46.8,0.1,54.3,60.2,104.85,51.8,C. Miles , M. Ellis , R. Stuckey , J. Hill , P. George,
J. Crawford - C. Paul - D. Jordan - W. Johnson - A. Rivers,LAC,22,62,108.3,99.2,9.1,50,2.4,14.1,23.1,70.2,45.1,0.1,51.9,56.4,102.51,56,J. Crawford , C. Paul , D. Jordan , W. Johnson , A. Rivers,
J. Terry - D. Howard - T. Ariza - J. Harden - P. Beverley,HOU,16,62,108.5,98.4,10.1,56.3,1.5,15.5,32.4,64.7,48.5,0.1,53.2,55.2,98.17,54.9,J. Terry , D. Howard , T. Ariza , J. Harden , P. Beverley,
O. Mayo - G. Monroe - K. Middleton - M. Carter-Williams - G. Antetokounmpo,MIL,17,62,92.5,97,-4.5,63,1.12,17,18.9,70.6,47.9,0.2,50.5,54.9,102.55,50.4,O. Mayo , G. Monroe , K. Middleton , M. Carter-Williams , G. Antetokounmpo,
P. Tucker - B. Knight - J. Leuer - A. Len - D. Booker,PHX,8,62,114.1,112.3,1.8,52.5,1.63,16.7,38.4,71.2,54,0.1,52,53.5,99.97,49,P. Tucker , B. Knight , J. Leuer , A. Len , D. Booker,
T. Chandler - R. Price - P. Tucker - M. Teletovic - D. Booker,PHX,11,62,99.2,102.3,-3.1,53.5,1.1,13,37,75,54.1,0.2,45.3,50.3,101.56,46.4,T. Chandler , R. Price , P. Tucker , M. Teletovic , D. Booker,
B. Rush - S. Curry - K. Thompson - H. Barnes - D. Green,GSW,16,61,118.3,94.6,23.7,78.3,3.92,24.9,19,68.8,44.1,0.1,57.7,60,102.51,61.9,B. Rush , S. Curry , K. Thompson , H. Barnes , D. Green,
C. Bosh - D. Wade - L. Deng - G. Green - G. Dragic,MIA,21,61,97.9,108.4,-10.5,44.7,1.11,12.2,16.1,71.2,41.2,0.1,49.5,57,108.57,40.9,C. Bosh , D. Wade , L. Deng , G. Green , G. Dragic,
D. Nowitzki - R. Felton - D. Williams - W. Matthews - C. Parsons,DAL,8,61,135.2,100,35.2,61.9,3,22.4,18.8,70.8,48.7,0.1,68.8,71.3,102.12,63.2,D. Nowitzki , R. Felton , D. Williams , W. Matthews , C. Parsons,
G. Monroe - K. Middleton - G. Antetokounmpo - J. Parker - R. Vaughn,MIL,7,61,120.9,110.9,10,57.1,1.71,19.7,33.3,69.4,50,0.2,58.9,61,100.92,54.1,G. Monroe , K. Middleton , G. Antetokounmpo , J. Parker , R. Vaughn,
J. Henson - K. Middleton - M. Carter-Williams - G. Antetokounmpo - J. Parker,MIL,16,61,110.2,81.4,28.8,46.2,1.04,14.1,38.8,68.9,56.9,0.2,53.5,60.2,101.59,69.3,J. Henson , K. Middleton , M. Carter-Williams , G. Antetokounmpo , J. Parker,
J. Johnson - J. Jack - T. Young - B. Lopez - W. Ellington,BKN,14,61,92.7,112.9,-20.2,65.9,2.23,17,24.3,67.3,41.5,0.1,41.9,45.5,98.14,35.8,J. Johnson , J. Jack , T. Young , B. Lopez , W. Ellington,
L. James - J. Smith - T. Thompson - I. Shumpert - M. Dellavedova,CLE,21,61,107.1,105.1,2,54,1.8,15.7,32.2,65.1,49.2,0.1,53.3,57,104.82,50,L. James , J. Smith , T. Thompson , I. Shumpert , M. Dellavedova,
L. Scola - K. Lowry - D. DeRozan - J. Johnson - B. Biyombo,TOR,15,61,99.1,108.4,-9.3,56.5,1.37,16.6,25.9,83.7,53.4,0.2,51.5,53.8,92.31,43.1,L. Scola , K. Lowry , D. DeRozan , J. Johnson , B. Biyombo,
M. Morris - T. Harris - R. Jackson - A. Baynes - K. Caldwell-Pope,DET,17,61,94.3,87.3,7,37.1,0.57,7.6,26.6,75.6,53.5,0.2,38.8,52.9,108.96,53.7,M. Morris , T. Harris , R. Jackson , A. Baynes , K. Caldwell-Pope,
A. Tolliver - B. Jennings - A. Baynes - K. Caldwell-Pope - S. Johnson,DET,12,60,110.2,84.9,25.3,65.2,1.88,18.2,31.7,82.6,58.9,0.1,52.9,56.6,95.46,67.3,A. Tolliver , B. Jennings , A. Baynes , K. Caldwell-Pope , S. Johnson,
E. Gordon - O. Asik - J. Holiday - A. Gee - A. Davis,NOP,7,60,74,100,-26,42.9,0.83,10.2,7.7,84.1,47,0.1,39.2,43.3,99.64,34.9,E. Gordon , O. Asik , J. Holiday , A. Gee , A. Davis,
K. Bryant - B. Bass - L. Williams - J. Clarkson - J. Randle,LAL,22,60,106.8,124.8,-18,39.1,1.38,10.6,28.2,62.5,43.3,0.1,44.3,51.8,104.24,35.6,K. Bryant , B. Bass , L. Williams , J. Clarkson , J. Randle,
R. Anderson - J. Holiday - T. Douglas - D. Cunningham - A. Davis,NOP,13,60,108,123.2,-15.2,54.9,1.87,16,31,75,48.7,0.1,45.8,51.1,99.45,36.4,R. Anderson , J. Holiday , T. Douglas , D. Cunningham , A. Davis,
R. Rondo - O. Casspi - D. Cousins - B. McLemore - W. Cauley-Stein,SAC,7,60,103.1,96.2,6.9,70,1.84,18.7,34.2,75.8,54,0.1,47,50.1,103.25,50.8,R. Rondo , O. Casspi , D. Cousins , B. McLemore , W. Cauley-Stein,
R. Westbrook - S. Ibaka - A. Morrow - A. Roberson - S. Adams,OKC,7,60,111.2,90.2,21,61.2,2.5,17.1,31.8,69.1,50.7,0.1,50,54.1,99.01,63.5,R. Westbrook , S. Ibaka , A. Morrow , A. Roberson , S. Adams,
S. Hawes - N. Batum - J. Lin - J. Lamb - F. Kaminsky,CHA,12,60,92.2,84.5,7.8,72.5,1.45,17.2,21.9,74,49.6,0.2,46,51.3,102.38,59.6,S. Hawes , N. Batum , J. Lin , J. Lamb , F. Kaminsky,
T. Duncan - T. Parker - L. Aldridge - D. Green - K. Anderson,SAS,11,60,104.3,98.3,6,51.1,1.64,14.7,28.8,71.2,50,0.1,47,53,92.27,55.4,T. Duncan , T. Parker , L. Aldridge , D. Green , K. Anderson,
T. Prince - R. Rubio - Z. LaVine - A. Wiggins - K. Towns,MIN,17,60,98.6,112.3,-13.7,62.8,1.29,14.8,27.4,59.2,44.4,0.1,45,54.4,112.22,46,T. Prince , R. Rubio , Z. LaVine , A. Wiggins , K. Towns,
A. Brooks - N. Mirotic - J. Holiday - D. McDermott - B. Portis,CHI,8,59,78.2,103.2,-25,61.1,1.83,13.3,25,78.3,47.2,0.1,36.1,38.6,102.15,31.1,A. Brooks , N. Mirotic , J. Holiday , D. McDermott , B. Portis,
C. Miles - M. Ellis - G. Hill - J. Hill - P. George,IND,19,59,110,91.4,18.6,53.2,1.67,14.3,33.8,69.8,51.1,0.1,50.5,54.5,105.33,59.8,C. Miles , M. Ellis , G. Hill , J. Hill , P. George,
K. Korver - T. Sefolosha - P. Millsap - J. Teague - M. Muscala,ATL,19,59,110.5,95.1,15.4,66,2.2,19,31,75,52.6,0.1,52.4,57.3,100.64,58,K. Korver , T. Sefolosha , P. Millsap , J. Teague , M. Muscala,
M. Gortat - R. Sessions - M. Morris - B. Beal - O. Porter Jr.,WAS,8,59,112.6,114.7,-2.1,51.9,1.75,16.7,35,71.9,53,0.1,52.7,54.7,95.09,52.6,M. Gortat , R. Sessions , M. Morris , B. Beal , O. Porter Jr.,
R. Gay - M. Belinelli - D. Collison - O. Casspi - D. Cousins,SAC,23,59,106,94.7,11.3,73.6,2.29,21.9,11.8,76.2,47.4,0.1,57.9,61.5,107.46,60.7,R. Gay , M. Belinelli , D. Collison , O. Casspi , D. Cousins,
T. Ariza - J. Harden - T. Lawson - T. Jones - C. Capela,HOU,18,59,96.6,108.5,-11.8,59.1,1.44,15.9,30.6,77.1,50.9,0.2,47.1,50.6,96.98,39.9,T. Ariza , J. Harden , T. Lawson , T. Jones , C. Capela,
T. Young - B. Lopez - B. Bogdanovic - S. Larkin - S. Karasev,BKN,9,59,101.6,111.2,-9.6,66.7,1.52,18.7,22.6,79.5,48.5,0.2,54.1,57.8,103.42,46.8,T. Young , B. Lopez , B. Bogdanovic , S. Larkin , S. Karasev,
D. Favors - G. Hayward - T. Booker - A. Burks - T. Burke,UTA,21,58,96,94.3,1.7,46.7,1.62,12.9,31.8,71.9,50.4,0.1,45.2,49.6,101.54,51.2,D. Favors , G. Hayward , T. Booker , A. Burks , T. Burke,
J. Smith - A. Nicholson - V. Oladipo - A. Gordon - M. Hezonja,ORL,9,58,104.3,94.1,10.2,50,1.32,16.2,26.5,64.3,46.7,0.2,55.2,57.7,96.98,55.6,J. Smith , A. Nicholson , V. Oladipo , A. Gordon , M. Hezonja,
A. Johnson - E. Turner - I. Thomas - J. Crowder - M. Smart,BOS,22,57,102.3,106,-3.7,56.3,1.29,14.9,33.3,68.4,49.6,0.2,48.6,52.7,113.32,45.1,A. Johnson , E. Turner , I. Thomas , J. Crowder , M. Smart,
A. Johnson - E. Turner - I. Thomas - J. Sullinger - J. Crowder,BOS,17,57,100,105.4,-5.4,68.9,2.07,19,28.8,75.4,51.7,0.1,48.5,51.7,95.95,47.8,A. Johnson , E. Turner , I. Thomas , J. Sullinger , J. Crowder,
K. Bryant - L. Williams - R. Hibbert - D. Russell - L. Nance Jr.,LAL,12,57,106.8,113.4,-6.7,61.2,1.76,18.1,30.5,65.6,48.3,0.1,52.9,55.9,99.01,44.7,K. Bryant , L. Williams , R. Hibbert , D. Russell , L. Nance Jr.,
M. Ginobili - D. West - B. Diaw - D. Green - P. Mills,SAS,19,57,94.4,91.1,3.3,60.4,1.81,16.8,34.3,72.9,51.9,0.1,46.6,48.3,103.81,48.8,M. Ginobili , D. West , B. Diaw , D. Green , P. Mills,
R. Anderson - J. Holiday - A. Gee - N. Cole - A. Davis,NOP,20,57,114.7,96,18.7,60.7,2.43,19.8,17.6,67.7,45.1,0.1,59.7,63.2,106.56,63.4,R. Anderson , J. Holiday , A. Gee , N. Cole , A. Davis,
D. Nowitzki - D. Harris - R. Felton - D. Lee - J. Barea,DAL,10,56,98.4,118.4,-20,55.1,1.35,16.2,30.2,70.7,51.4,0.2,50.5,55.6,109.28,45.1,D. Nowitzki , D. Harris , R. Felton , D. Lee , J. Barea,
G. Monroe - K. Middleton - G. Antetokounmpo - T. Ennis - J. Parker,MIL,13,56,92.1,97.3,-5.2,44.2,0.95,13.1,23.5,62.7,43.1,0.2,47.8,51.5,96.37,42.8,G. Monroe , K. Middleton , G. Antetokounmpo , T. Ennis , J. Parker,
G. Monroe - K. Middleton - M. Carter-Williams - G. Antetokounmpo - J. O'Bryant III,MIL,12,56,106,92.3,13.7,63.6,2.15,17.9,22.6,79.2,49.5,0.1,49.5,56.6,100.44,57.1,G. Monroe , K. Middleton , M. Carter-Williams , G. Antetokounmpo , J. O'Bryant III,
J. Crawford - J. Green - W. Johnson - C. Aldrich - A. Rivers,LAC,10,56,103.5,100.9,2.7,54.5,1.33,16.1,28,61.8,45.7,0.2,52.2,56.1,96.74,51.6,J. Crawford , J. Green , W. Johnson , C. Aldrich , A. Rivers,
