LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5
N. Vucevic - E. Fournier - A. Gordon - M. Fultz - W. Iwundu,ORL,15,136,108.2,113.5,-5.3,73.2,2.73,23.3,12.6,80.6,48,0.1,58.9,60.4,99.37,49.8,N. Vucevic , E. Fournier , A. Gordon , M. Fultz , W. Iwundu
K. Lowry - S. Ibaka - P. McCaw - F. VanVleet - O. Anunoby,TOR,8,135,99,107.7,-8.7,65.7,1.5,18.3,16.9,76.4,47.1,0.2,51.1,54.6,102.37,45.2,K. Lowry , S. Ibaka , P. McCaw , F. VanVleet , O. Anunoby
J. Valanciunas - K. Anderson - D. Brooks - D. Melton - J. Morant,MEM,9,133,108.4,100,8.4,62.2,1.76,18.9,32.6,73.9,55.1,0.2,53.2,55,99.42,55.3,J. Valanciunas , K. Anderson , D. Brooks , D. Melton , J. Morant
R. Gay - P. Mills - J. Poeltl - D. White - L. Walker IV,SAS,25,130,109.5,99.3,10.2,68.3,2.83,20.2,22.9,78.2,50.7,0.1,54.4,58,107.99,59.4,R. Gay , P. Mills , J. Poeltl , D. White , L. Walker IV
D. Russell - M. Beasley - J. Hernangomez - J. Okogie - N. Reid,MIN,11,127,105.6,112.3,-6.7,45.7,1.51,14.6,18.9,77.6,46.3,0.1,54.8,56.1,107.65,41.3,D. Russell , M. Beasley , J. Hernangomez , J. Okogie , N. Reid
B. Bogdanovic - R. Gobert - J. Clarkson - R. O'Neale - D. Mitchell,UTA,22,124,113.9,108.7,5.1,51.8,1.44,16.5,21.6,81.4,53.8,0.1,60.5,63.3,104.33,53.5,B. Bogdanovic , R. Gobert , J. Clarkson , R. O'Neale , D. Mitchell
D. Green - G. Robinson III - D. Russell - W. Cauley-Stein - D. Lee,GSW,10,123,105.4,109.9,-4.5,68.2,2.21,20.9,20.3,73.2,45,0.1,55.4,56,101.31,47,D. Green , G. Robinson III , D. Russell , W. Cauley-Stein , D. Lee
T. Gibson - M. Morris Sr. - R. Bullock - E. Payton - J. Randle,NYK,8,123,111.8,107.4,4.4,54.8,2.03,18.1,32.8,75.6,54.3,0.1,53.4,55.3,95.47,51.1,T. Gibson , M. Morris Sr. , R. Bullock , E. Payton , J. Randle
K. Lowry - S. Ibaka - N. Powell - P. Siakam - O. Anunoby,TOR,16,120,114,114.4,-0.4,69.8,2.47,20.3,16.8,71.3,45.2,0.1,56.8,61.6,107.18,50.9,K. Lowry , S. Ibaka , N. Powell , P. Siakam , O. Anunoby
M. Morris Sr. - E. Payton - J. Randle - M. Robinson - R. Barrett,NYK,14,120,101.6,101.2,0.4,44,1.26,12.4,35.6,73.5,53.4,0.1,46.4,49.1,103.33,49.3,M. Morris Sr. , E. Payton , J. Randle , M. Robinson , R. Barrett
T. Satoransky - O. Porter Jr. - Z. LaVine - L. Markkanen - W. Carter Jr.,CHI,9,119,111.6,108.3,3.4,61.4,1.88,17.7,29.9,68.3,48,0.1,51.8,54.9,101.11,48.1,T. Satoransky , O. Porter Jr. , Z. LaVine , L. Markkanen , W. Carter Jr.
W. Chandler - D. Jordan - G. Temple - C. LeVert - T. Luwawu-Cabarrot,BKN,11,119,107.9,96.8,11.1,48.4,1.25,13.7,33.8,71.8,54.1,0.1,49.8,53.8,99.3,51.6,W. Chandler , D. Jordan , G. Temple , C. LeVert , T. Luwawu-Cabarrot
A. Horford - T. Harris - J. Richardson - B. Simmons - M. Thybulle,PHI,19,118,104.7,101.6,3,71.7,2.29,20.6,31.7,71.1,50.9,0.1,50.5,53,98.77,53.9,A. Horford , T. Harris , J. Richardson , B. Simmons , M. Thybulle
B. Griffin - A. Drummond - T. Snell - L. Kennard - B. Brown,DET,9,117,113.2,93.7,19.6,63.6,2.17,19.1,28.3,75.2,53.3,0.1,53.8,57.1,96.55,60.3,B. Griffin , A. Drummond , T. Snell , L. Kennard , B. Brown
R. Rubio - D. Saric - D. Booker - M. Bridges - D. Ayton,PHX,12,114,119.1,117.8,1.3,72.3,2.19,23.2,28.1,71.3,52.3,0.2,60.7,63.9,103.14,53.7,R. Rubio , D. Saric , D. Booker , M. Bridges , D. Ayton
T. Thompson - L. Nance Jr. - C. Osman - C. Sexton - D. Garland,CLE,22,112,92.3,99.6,-7.2,50,1,12.8,29.1,73.2,51.2,0.2,44.8,49.2,101.27,45.4,T. Thompson , L. Nance Jr. , C. Osman , C. Sexton , D. Garland
K. Lowry - M. Gasol - N. Powell - P. Siakam - O. Anunoby,TOR,11,111,115.9,102.5,13.4,60,2.74,19.3,17.4,74.2,47.2,0.1,57.6,60.9,105.69,55.3,K. Lowry , M. Gasol , N. Powell , P. Siakam , O. Anunoby
G. Harris - J. Grant - N. Jokic - J. Murray - T. Craig,DEN,13,110,110.9,112.4,-1.5,70.8,1.84,21.8,27.5,79,55.1,0.2,59,61.6,97.28,50.4,G. Harris , J. Grant , N. Jokic , J. Murray , T. Craig
K. Irving - J. Harris - C. LeVert - T. Prince - J. Allen,BKN,12,109,113,115.3,-2.2,57.1,1.81,16.6,30.1,71.6,50.2,0.1,55,58.3,105.85,50.5,K. Irving , J. Harris , C. LeVert , T. Prince , J. Allen
A. Horford - T. Harris - J. Ennis III - B. Simmons - F. Korkmaz,PHI,22,108,122.1,102.5,19.6,77.6,2.77,24.2,27.4,76.1,52.9,0.1,60.6,62.6,104.71,58,A. Horford , T. Harris , J. Ennis III , B. Simmons , F. Korkmaz
R. Gay - M. Belinelli - P. Mills - J. Poeltl - D. White,SAS,22,108,107.6,102.8,4.8,56.4,1.68,17.2,23.9,75,50.2,0.1,55.3,57.5,110.49,53.3,R. Gay , M. Belinelli , P. Mills , J. Poeltl , D. White
L. Aldridge - D. DeRozan - T. Lyles - B. Forbes - D. White,SAS,23,107,111.5,111.1,0.4,66.3,2.35,18.8,28.8,82.9,56.7,0.1,53.4,58.5,102.89,55,L. Aldridge , D. DeRozan , T. Lyles , B. Forbes , D. White
R. Covington - S. Napier - A. Wiggins - K. Towns - J. Culver,MIN,11,106,118.2,117.9,0.3,74,2.22,21.8,27.8,76.5,51.4,0.1,56.7,60,101.48,49.9,R. Covington , S. Napier , A. Wiggins , K. Towns , J. Culver
E. Fournier - K. Birch - A. Gordon - M. Fultz - J. Isaac,ORL,8,104,102.9,111.7,-8.9,51.2,1.43,14.9,30.4,77.6,53.2,0.1,48.5,51.1,97.83,45.2,E. Fournier , K. Birch , A. Gordon , M. Fultz , J. Isaac
K. Irving - S. Dinwiddie - J. Harris - T. Prince - J. Allen,BKN,13,104,111.6,106.1,5.4,61.5,1.69,19.3,22,76.4,50,0.2,59.1,60.9,104.73,52,K. Irving , S. Dinwiddie , J. Harris , T. Prince , J. Allen
G. Dieng - R. Covington - S. Napier - A. Wiggins - J. Culver,MIN,13,101,111.5,106,5.4,65.9,2.22,19.9,22.6,74.2,47.3,0.1,56.5,58.6,102.77,52,G. Dieng , R. Covington , S. Napier , A. Wiggins , J. Culver
C. Paul - D. Gallinari - N. Noel - T. Ferguson - S. Gilgeous-Alexander,OKC,20,100,97.6,116.6,-19,55.8,2.05,15.8,16.2,71.1,40.8,0.1,48.1,51.3,103.15,39.5,C. Paul , D. Gallinari , N. Noel , T. Ferguson , S. Gilgeous-Alexander
N. Vucevic - E. Fournier - J. Ennis III - A. Gordon - M. Fultz,ORL,6,100,108.7,119.7,-11,61.2,2.73,20.1,20.4,79.8,48.7,0.1,54.7,57.2,105.07,48.2,N. Vucevic , E. Fournier , J. Ennis III , A. Gordon , M. Fultz
P. Beverley - P. Patterson - K. Leonard - I. Zubac - L. Shamet,LAC,11,100,105.3,96.7,8.6,57,1.45,16,27.8,83.7,55.2,0.1,49.5,53.8,100.49,55.4,P. Beverley , P. Patterson , K. Leonard , I. Zubac , L. Shamet
A. Horford - T. Harris - J. Ennis III - B. Simmons - M. Thybulle,PHI,19,99,106.2,91.4,14.8,68.1,2.14,19.7,26,80.5,54.4,0.1,53.4,56.2,108.72,59.6,A. Horford , T. Harris , J. Ennis III , B. Simmons , M. Thybulle
M. Conley - J. Clarkson - J. Ingles - G. Niang - T. Bradley,UTA,13,99,120.4,104.5,15.9,54.3,1.56,17.4,40.4,70.3,55.1,0.2,58.6,61,97.59,54.1,M. Conley , J. Clarkson , J. Ingles , G. Niang , T. Bradley
M. Conley - R. Gobert - J. Ingles - R. O'Neale - D. Mitchell,UTA,10,99,114.4,95,19.4,65.1,1.46,18.2,29,73.6,52.4,0.2,56.8,61.3,105.43,60.6,M. Conley , R. Gobert , J. Ingles , R. O'Neale , D. Mitchell
I. Mahinmi - I. Smith - B. Beal - R. Hachimura - I. Bonga,WAS,9,98,102.3,97.2,5.2,54.7,2.04,15.9,29,70.7,47.5,0.1,46.8,49.3,104.22,54.8,I. Mahinmi , I. Smith , B. Beal , R. Hachimura , I. Bonga
J. Parker - D. Jones - T. Young - C. Reddish - D. Hunter,ATL,13,98,110.6,137.7,-27.1,55.7,1.44,16.8,28.9,61.5,43.4,0.2,55.5,59.5,105.1,38.6,J. Parker , D. Jones , T. Young , C. Reddish , D. Hunter
