PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Thaddeus Young,BKN,73,0.6,3.8,0.6,0.4,0.1,0.2,57.1,57.1
Mirza Teletovic,PHX,79,0.5,4.4,0.63,0.3,0,0.1,18.2,22.7
Corey Brewer,HOU,82,0.5,6.1,0.62,0.3,0.1,0.3,22.7,29.5
Kent Bazemore,ATL,75,0.6,4.6,0.6,0.3,0.1,0.2,46.7,46.7
Ed Davis,POR,81,0.5,9.1,0.59,0.3,0,0.1,80,80
Brandon Knight,PHX,52,0.9,3.9,0.58,0.5,0.1,0.3,46.2,50
Jason Smith,ORL,76,0.8,9.7,0.46,0.3,0.1,0.1,40,40
Kevin Love,CLE,77,0.9,5.2,0.39,0.3,0,0.1,10,10
Isaiah Canaan,PHI,77,0.5,4.1,0.69,0.3,0.1,0.2,50,70.8
Frank Kaminsky,CHA,81,0.5,5.9,0.66,0.3,0,0.1,36.4,36.4
JR Smith,CLE,77,0.6,4.7,0.57,0.3,0.1,0.2,35.3,47.1
Myles Turner,IND,60,0.8,7.3,0.53,0.4,0.1,0.1,62.5,62.5
Blake Griffin,LAC,35,1.4,6.2,0.52,0.7,0.1,0.3,44.4,44.4
Andre Iguodala,GSW,65,0.8,10.8,0.48,0.4,0.1,0.2,33.3,41.7
Robin Lopez,NYK,82,0.9,8.6,0.33,0.3,0,0.1,50,50
Marcin Gortat,WAS,75,1.1,8.2,0.31,0.3,0.1,0.1,66.7,66.7
Mo Williams,CLE,41,0.6,6.9,0.92,0.6,0.1,0.1,66.7,83.3
Courtney Lee,MEM,51,0.5,5.7,0.86,0.5,0.2,0.2,80,80
Harrison Barnes,GSW,66,0.4,3.9,0.83,0.4,0.1,0.1,66.7,66.7
Dwight Powell,DAL,69,0.5,8,0.75,0.3,0,0,0,0
Ish Smith,PHI,50,0.8,4.3,0.6,0.5,0.1,0.3,38.5,38.5
Evan Turner,BOS,81,0.5,4.1,0.58,0.3,0,0.1,36.4,36.4
Trevor Ariza,HOU,81,0.6,4.3,0.53,0.3,0,0.2,15.4,19.2
Patrick Beverley,HOU,71,0.7,6.7,0.49,0.3,0.1,0.2,33.3,33.3
Jabari Parker,MIL,76,0.7,4.5,0.48,0.3,0.1,0.3,45.8,45.8
Shaun Livingston,GSW,78,0.6,9.5,0.49,0.3,0.1,0.2,58.3,58.3
Clint Capela,HOU,77,0.6,9,0.47,0.3,0,0.1,14.3,14.3
Archie Goodwin,PHX,57,0.9,8.3,0.46,0.4,0.1,0.3,23.5,26.5
Cody Zeller,CHA,73,0.7,8.7,0.43,0.3,0,0.1,20,20
Alex Len,PHX,78,0.9,8.4,0.32,0.3,0.1,0.2,38.5,38.5
D.J. Augustin,DEN,28,0.8,6.9,1,0.8,0.2,0.4,45.5,59.1
Stanley Johnson,DET,73,0.4,4,0.73,0.3,0.1,0.1,60,65
Bojan Bogdanovic,BKN,79,0.4,3.7,0.65,0.3,0,0.1,37.5,50
Thabo Sefolosha,ATL,75,0.5,7.2,0.63,0.3,0.1,0.1,44.4,50
Taj Gibson,CHI,73,0.6,6.4,0.54,0.3,0.1,0.1,57.1,57.1
Dennis Schroder,ATL,80,0.6,4.4,0.48,0.3,0.1,0.2,40,43.3
Markieff Morris,PHX,38,1.3,8.7,0.45,0.6,0.1,0.3,41.7,41.7
Trevor Booker,UTA,79,0.7,10.2,0.41,0.3,0,0.1,28.6,28.6
Michael Carter-Williams,MIL,54,1.1,7.9,0.35,0.4,0.1,0.2,27.3,31.8
Gary Harris,DEN,76,0.4,3.5,0.66,0.3,0.1,0.1,50,55
Toney Douglas,NOP,61,0.5,6,0.64,0.3,0,0.1,20,30
Shabazz Muhammad,MIN,82,0.4,3.8,0.64,0.3,0,0.2,28.6,28.6
Langston Galloway,NYK,82,0.5,5.8,0.53,0.3,0.1,0.2,33.3,36.7
Derrick Favors,UTA,62,1,6,0.34,0.3,0.1,0.2,50,50
Quincy Acy,SAC,59,0.4,8.9,0.83,0.3,0.1,0.1,75,75
Markel Brown,BKN,64,0.4,6.4,0.74,0.3,0.1,0.1,50,50
Arron Afflalo,NYK,71,0.4,3.2,0.67,0.3,0.1,0.1,62.5,68.8
Tobias Harris,ORL,49,0.7,4.9,0.61,0.4,0,0.1,40,50
Jeff Green,MEM,53,0.7,5.5,0.53,0.4,0,0.2,22.2,27.8
Jared Sullinger,BOS,81,0.8,6.5,0.31,0.2,0,0.1,36.4,36.4
Jahlil Okafor,PHI,53,0.7,4,0.49,0.4,0.1,0.3,43.8,43.8
Justise Winslow,MIA,78,0.5,6.6,0.47,0.2,0,0.1,37.5,37.5
Meyers Leonard,POR,61,0.8,9.4,0.38,0.3,0,0.1,11.1,11.1
Nerlens Noel,PHI,67,1.1,8.5,0.26,0.3,0,0.1,37.5,37.5
Kris Humphries,ATL,21,0.8,11.7,1.13,0.9,0,0.1,50,50
Alec Burks,UTA,31,0.6,4.5,0.9,0.6,0.1,0.3,25,25
Brandon Bass,LAL,66,0.4,6.3,0.67,0.3,0.1,0.1,57.1,57.1
Tyler Zeller,BOS,60,0.5,8.4,0.56,0.3,0.1,0.1,62.5,62.5
Luis Scola,TOR,76,0.5,5.1,0.5,0.2,0,0.1,33.3,38.9
Gerald Henderson,POR,72,0.5,5.7,0.47,0.3,0,0.1,33.3,33.3
JaMychal Green,MEM,78,0.5,6.6,0.43,0.2,0,0.1,37.5,37.5
Shane Larkin,BKN,78,0.6,6.8,0.38,0.2,0,0.1,28.6,28.6
Jordan Hill,IND,73,0.7,7.6,0.34,0.2,0,0.1,25,25
Kevin Martin,MIN,39,0.5,4.4,0.9,0.4,0.1,0.2,50,50
Derrick Williams,NYK,80,0.3,3.1,0.74,0.2,0.1,0.1,57.1,64.3
Larry Nance Jr.,LAL,63,0.5,8.1,0.59,0.3,0.1,0.1,62.5,62.5
Jonas Jerebko,BOS,78,0.4,8.3,0.55,0.2,0,0.1,16.7,16.7
Gerald Green,MIA,69,0.4,4.6,0.55,0.2,0,0.2,17.6,23.5
Matthew Dellavedova,CLE,76,0.5,6.2,0.42,0.2,0,0.1,20,20
Amir Johnson,BOS,79,0.9,12.7,0.23,0.2,0,0.1,75,75
Andrew Bogut,GSW,70,1.1,19.4,0.23,0.2,0,0.1,50,50
Eric Gordon,NOP,45,0.4,2.8,0.84,0.4,0,0.1,33.3,50
Jason Terry,HOU,72,0.4,6.6,0.55,0.2,0,0.1,37.5,43.8
Willie Cauley-Stein,SAC,66,0.5,6.8,0.53,0.2,0,0.1,25,25
Festus Ezeli,GSW,46,0.7,9.6,0.52,0.3,0,0.1,50,50
Lance Thomas,NYK,59,0.6,7.8,0.42,0.3,0,0.2,18.2,18.2
Patrick Patterson,TOR,79,0.5,7,0.4,0.2,0.1,0.1,55.6,61.1
Cory Joseph,TOR,80,0.7,6.8,0.31,0.2,0,0.2,5.9,5.9
Tim Duncan,SAS,61,1.1,11.3,0.24,0.3,0,0.1,60,60
Tim Hardaway Jr.,ATL,51,0.2,3.9,1.25,0.3,0.1,0.1,42.9,64.3
Brandon Rush,GSW,73,0.3,6.1,0.79,0.2,0.1,0.1,57.1,64.3
Terrence Ross,TOR,73,0.3,2.7,0.79,0.2,0,0.1,28.6,35.7
Sasha Vujacic,NYK,61,0.3,6.2,0.71,0.2,0,0,0,0
Doug McDermott,CHI,81,0.3,3.3,0.63,0.2,0,0.1,33.3,33.3
LaMarcus Aldridge,SAS,74,0.4,2.4,0.48,0.2,0,0.1,50,50
Bobby Portis,CHI,63,0.5,6.2,0.47,0.2,0.1,0.2,42.9,42.9
Joffrey Lauvergne,DEN,60,0.6,7.3,0.44,0.3,0,0.1,50,62.5
Terrence Jones,HOU,50,0.7,7.9,0.41,0.3,0.1,0.2,27.3,27.3
Kelly Olynyk,BOS,69,0.6,5.7,0.39,0.2,0.1,0.2,30.8,34.6
Manu Ginobili,SAS,58,0.7,6.8,0.38,0.3,0,0.1,25,25
Otto Porter Jr.,WAS,75,0.5,4.8,0.38,0.2,0,0.2,21.4,25
Andre Roberson,OKC,70,0.3,6.6,0.64,0.2,0.1,0.1,50,56.3
E'Twaun Moore,CHI,59,0.4,4.8,0.64,0.2,0.1,0.1,83.3,83.3
Jeff Withey,UTA,51,0.5,11.5,0.56,0.3,0,0.1,40,40
Leandro Barbosa,GSW,68,0.4,6.7,0.47,0.2,0.1,0.2,45.5,45.5
Noah Vonleh,POR,78,0.4,8.9,0.45,0.2,0.1,0.1,66.7,66.7
Donald Sloan,BKN,61,0.5,6.9,0.42,0.2,0,0.1,11.1,11.1
Chandler Parsons,DAL,61,0.6,4.5,0.39,0.2,0.1,0.2,46.7,46.7
CJ Miles,IND,64,0.6,5,0.37,0.2,0,0.1,50,50
Jerami Grant,PHI,77,0.5,4.5,0.36,0.2,0,0.2,25,25
Danny Green,SAS,79,0.5,6.4,0.33,0.2,0,0.2,16.7,25
Kyle Korver,ATL,80,0.5,5.8,0.33,0.2,0,0.1,33.3,33.3
Brandon Jennings,ORL,25,0.5,6.1,1,0.5,0.1,0.2,60,60
Nick Young,LAL,54,0.3,3.5,0.87,0.2,0.1,0.1,50,68.8
Solomon Hill,IND,59,0.3,6.9,0.72,0.2,0,0.1,40,40
T.J. Warren,PHX,47,0.4,4.2,0.62,0.3,0.1,0.3,35.7,35.7
Jared Dudley,WAS,81,0.3,4.1,0.52,0.2,0,0,66.7,66.7
Allen Crabbe,POR,81,0.3,3.3,0.5,0.2,0,0.1,50,66.7
Maurice Harkless,POR,78,0.4,5.4,0.46,0.2,0,0.1,33.3,33.3
Norris Cole,NOP,45,0.6,5,0.45,0.3,0.1,0.1,50,58.3
Mario Hezonja,ORL,79,0.4,5.7,0.42,0.2,0,0.1,30,35
Rodney Stuckey,IND,58,0.6,5.5,0.41,0.2,0,0.2,20,20
Nene,WAS,57,0.6,5.9,0.41,0.2,0,0.1,50,50
Ben McLemore,SAC,68,0.5,5.5,0.39,0.2,0,0.1,22.2,27.8
Patty Mills,SAS,81,0.4,5.1,0.36,0.2,0,0.2,18.8,25
Jose Calderon,NYK,72,0.6,7.5,0.31,0.2,0,0.1,40,40
Rodney Hood,UTA,80,0.6,4,0.28,0.2,0,0.2,11.1,11.1
Tyson Chandler,PHX,66,1.1,15.1,0.18,0.2,0,0,33.3,33.3
Kyle Anderson,SAS,78,0.3,6.7,0.46,0.2,0,0.1,60,60
Miles Plumlee,MIL,61,0.5,9.3,0.43,0.2,0,0.1,50,50
J.J. Barea,DAL,74,0.4,3.7,0.38,0.2,0,0.1,33.3,38.9
Nemanja Bjelica,MIN,60,0.5,10.4,0.38,0.2,0,0.1,25,31.3
Omri Casspi,SAC,69,0.5,4.2,0.36,0.2,0.1,0.2,36.4,45.5
Alexis Ajinca,NOP,59,0.6,8.6,0.35,0.2,0,0.1,66.7,66.7
Marco Belinelli,SAC,68,0.5,4.7,0.33,0.2,0,0.2,16.7,20.8
Jon Leuer,PHX,67,0.6,6.3,0.32,0.2,0,0.1,33.3,50
Steve Blake,DET,58,0.7,11.8,0.31,0.2,0,0.3,10.5,13.2
T.J. McConnell,PHI,81,0.5,6.4,0.3,0.1,0,0.2,22.2,25
Tobias Harris,DET,27,0.4,2.4,1.1,0.4,0.1,0.1,50,50
Ish Smith,NOP,27,0.6,5.2,0.73,0.4,0,0.1,33.3,50
Anthony Morrow,OKC,68,0.2,4.4,0.69,0.2,0,0.1,37.5,37.5
Chris Johnson,UTA,70,0.2,6.7,0.65,0.2,0,0.1,42.9,42.9
Channing Frye,ORL,44,0.5,9,0.55,0.3,0,0,100,100
Randy Foye,DEN,54,0.4,4.9,0.55,0.2,0,0.1,33.3,33.3
Andrew Nicholson,ORL,56,0.4,5.5,0.52,0.2,0,0.1,50,50
Lou Williams,LAL,67,0.3,2.4,0.48,0.2,0,0.1,30,35
Jerryd Bayless,MIL,52,0.5,4.8,0.42,0.2,0.1,0.1,42.9,50
Aaron Brooks,CHI,69,0.4,5,0.38,0.2,0,0.2,16.7,16.7
Trey Burke,UTA,64,0.5,4,0.37,0.2,0,0.2,16.7,16.7
Lavoy Allen,IND,79,0.5,9.1,0.26,0.1,0,0.1,25,25
Rondae Hollis-Jefferson,BKN,29,0.4,5.8,0.91,0.3,0.1,0.1,100,100
DeMarre Carroll,TOR,26,0.7,5.6,0.56,0.4,0.1,0.3,42.9,42.9
Dion Waiters,OKC,78,0.3,2.5,0.46,0.1,0.1,0.2,26.7,30
Tyreke Evans,NOP,25,0.9,5.4,0.43,0.4,0.1,0.3,37.5,37.5
Hollis Thompson,PHI,77,0.4,3.4,0.37,0.1,0,0.1,25,25
Kyle O'Quinn,NYK,65,0.5,8.6,0.32,0.2,0,0,100,100
Jusuf Nurkic,DEN,32,1,9.4,0.31,0.3,0,0.1,0,0
Cole Aldrich,LAC,60,0.6,10.4,0.29,0.2,0,0,100,100
Marreese Speights,GSW,72,0.5,6.5,0.27,0.1,0,0.1,37.5,43.8
David West,SAS,78,0.5,7.1,0.26,0.1,0,0,0,0
Darrell Arthur,DEN,70,0.6,7.8,0.22,0.1,0,0.2,25,29.2
Justin Anderson,DAL,55,0.2,5.7,0.69,0.2,0,0,100,100
Tyus Jones,MIN,37,0.4,7.4,0.6,0.2,0.1,0.1,40,50
Robert Sacre,LAL,25,0.6,14.2,0.6,0.4,0,0.1,33.3,33.3
JaKarr Sampson,PHI,47,0.3,5.4,0.56,0.2,0,0.1,33.3,33.3
Tyler Ennis,MIL,46,0.4,7.3,0.5,0.2,0,0.1,40,40
Jonathon Simmons,SAS,55,0.4,6.4,0.43,0.2,0,0.1,33.3,33.3
Iman Shumpert,CLE,54,0.5,7,0.33,0.2,0,0.1,16.7,16.7
Boris Diaw,SAS,76,0.4,5.7,0.31,0.1,0,0,0,0
John Henson,MIL,57,0.7,9.4,0.24,0.2,0,0.1,16.7,16.7
O.J. Mayo,MIL,41,1,9.5,0.23,0.2,0.1,0.2,33.3,33.3
Spencer Hawes,CHA,57,0.7,9.9,0.23,0.2,0,0.1,14.3,14.3
Lance Stephenson,LAC,43,0.3,4.9,0.73,0.2,0.1,0.1,66.7,66.7
Michael Beasley,HOU,20,0.7,5.2,0.61,0.4,0.1,0.2,25,25
Nik Stauskas,PHI,73,0.3,3.3,0.35,0.1,0,0.1,33.3,41.7
Tony Snell,CHI,64,0.4,5.7,0.35,0.1,0,0.1,28.6,28.6
Alonzo Gee,NOP,73,0.3,6.8,0.35,0.1,0,0,50,50
Tyler Johnson,MIA,36,0.7,7.9,0.32,0.2,0,0.2,0,0
Dewayne Dedmon,ORL,58,0.4,10.7,0.31,0.1,0,0,50,50
Joe Johnson,BKN,57,0.5,3.6,0.29,0.1,0,0.1,14.3,14.3
Ersan Ilyasova,DET,52,0.6,4.9,0.27,0.2,0.1,0.2,37.5,43.8
Joe Johnson,MIA,24,0.4,3.2,0.7,0.3,0.1,0.3,33.3,33.3
Chris Andersen,MEM,20,0.5,11.6,0.7,0.4,0,0.1,0,0
Ersan Ilyasova,ORL,22,0.5,5.9,0.64,0.3,0.1,0.2,50,50
Lance Stephenson,MEM,26,0.4,2.8,0.64,0.3,0.1,0.3,28.6,28.6
Anderson Varejao,CLE,31,0.4,10.8,0.64,0.2,0,0,100,100
Tayshaun Prince,MIN,77,0.2,5.3,0.5,0.1,0,0.1,50,50
Kelly Oubre Jr.,WAS,63,0.2,5.3,0.5,0.1,0,0.1,42.9,50
David Lee,BOS,30,0.5,5.5,0.5,0.2,0,0.1,33.3,33.3
Jameer Nelson,DEN,39,0.4,3.9,0.47,0.2,0.1,0.2,28.6,28.6
Austin Rivers,LAC,67,0.3,3,0.37,0.1,0,0.1,0,0
Josh Richardson,MIA,53,0.4,6.6,0.32,0.1,0,0.1,20,20
Josh Smith,LAC,32,0.8,9.9,0.29,0.2,0,0.1,33.3,33.3
Dante Cunningham,NOP,80,0.4,5.9,0.24,0.1,0,0.1,14.3,14.3
Wesley Johnson,LAC,80,0.4,5.3,0.23,0.1,0,0.1,28.6,28.6
Jerian Grant,NYK,76,0.4,6,0.22,0.1,0,0.1,28.6,28.6
Mike Dunleavy,CHI,31,0.4,4.8,0.55,0.2,0,0.1,50,75
Carl Landry,PHI,36,0.3,3.5,0.55,0.2,0,0,100,100
Sean Kilpatrick,BKN,22,0.5,3.6,0.55,0.3,0.1,0.2,50,50
Seth Curry,SAC,44,0.3,4.6,0.46,0.1,0,0.1,25,37.5
Jarell Martin,MEM,27,0.5,8,0.46,0.2,0,0.1,50,50
Andrea Bargnani,BKN,46,0.3,4.3,0.43,0.1,0,0.1,50,50
Al Jefferson,CHA,47,0.3,2.6,0.4,0.1,0,0,0,0
Kris Humphries,WAS,28,0.5,7.7,0.4,0.2,0,0.1,0,0
Donatas Motiejunas,HOU,37,0.4,5.8,0.38,0.2,0,0.1,50,50
Kyle Singler,OKC,68,0.3,6.3,0.35,0.1,0,0,33.3,33.3
Richard Jefferson,CLE,74,0.3,5.1,0.3,0.1,0,0.1,20,20
Kevin Seraphin,NYK,49,0.5,8.9,0.26,0.1,0.1,0.2,37.5,37.5
Josh McRoberts,MIA,42,0.5,11.7,0.26,0.1,0,0,0,0
Markieff Morris,WAS,27,0.9,6.8,0.25,0.2,0,0.2,20,30
Nick Collison,OKC,59,0.5,17.4,0.2,0.1,0,0,50,50
Kosta Koufos,SAC,78,0.4,5.6,0.2,0.1,0,0.1,0,0
Tim Frazier,NOP,16,0.6,4.3,0.5,0.3,0.1,0.2,33.3,50
Troy Daniels,CHA,43,0.3,5.1,0.46,0.1,0,0.1,33.3,50
