RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
207,PJ Hairston,MEM,23,66,31,35,19.9,40.9,59.1,36.6,7.3,51.2,19.5,12.2,15.4,29.3,61.3,38.7,97.1,2.9,78.6,21.4
207,Ryan Anderson,NOP,28,66,24,42,30.4,61.5,38.5,47.3,21.9,35,6.5,17.7,13.3,25.4,44.4,55.6,93.1,6.9,60.5,39.5
207,Ty Lawson,IND,28,66,31,35,21.4,69.5,30.5,55.2,18.8,29,16.1,15.8,20.1,36.5,21.4,78.6,80.6,19.4,36.7,63.3
207,Tyson Chandler,PHX,33,66,18,48,24.5,99.7,0.3,77.5,1.7,0,8.1,22.5,13.6,75.8,66.7,33.3,0,0,66.7,33.3
207,Willie Cauley-Stein,SAC,22,66,26,40,21.4,99.4,0.6,82.5,5.2,0,21,17.5,11.4,77.3,75.9,24.1,0,0,75.9,24.1
221,Andre Iguodala,GSW,32,65,59,6,26.6,58.2,41.8,53.4,11.8,35.4,25.2,11.2,26.9,41.6,63.1,36.9,94.4,5.6,72.7,27.3
221,DeMarcus Cousins,SAC,25,65,29,36,34.6,84.2,15.8,60.8,10.8,12,7.8,27.2,12.8,50,55,45,100,0,60.2,39.8
221,Deron Williams,DAL,32,65,31,34,32.4,63.6,36.4,48.8,18.3,31.7,12.5,19.5,15.5,30.5,24.1,75.9,80.4,19.6,41.1,58.9
221,Jrue Holiday,NOP,26,65,27,38,28.2,72.3,27.7,59.3,15.6,24,10.4,16.7,12.6,43.7,20.7,79.3,51.7,48.3,27.3,72.7
221,Kyle O'Quinn,NYK,26,65,26,39,11.8,91.9,8.1,80.3,33.7,4.9,4.9,14.8,13.3,46.6,63.7,36.3,60,40,63.6,36.4
221,Nikola Vucevic,ORL,25,65,28,37,31.3,99.1,0.9,89.9,38.3,0.5,3.2,9.6,12,51.7,61,39,50,50,61,39
227,CJ Miles,IND,29,64,34,30,22.9,39,61,31.1,9.6,56.6,16.1,12.3,18.3,21.5,48.7,51.3,91.5,8.5,72.2,27.8
227,Devin Harris,DAL,33,64,35,29,20,57.8,42.2,47.2,9,32,21.6,20.8,20.1,38.2,47,53,92.3,7.7,61.1,38.9
227,Markieff Morris,WAS,26,64,22,42,25.5,78.4,21.6,67.5,27.7,18.4,5.4,14.1,12.8,39.7,60.5,39.5,97.9,2.1,66.2,33.8
227,Tony Allen,MEM,34,64,34,30,25.3,91,9,74.8,9.7,8.4,27.3,16.8,27.3,65,58,42,93.3,6.7,60.5,39.5
227,Tony Snell,CHI,24,64,33,31,20.3,54.3,45.7,41.4,13,49.7,14.8,8.9,15.4,28.4,45.7,54.3,94.6,5.4,67.5,32.5
227,Trey Burke,UTA,23,64,31,33,21.3,59.6,40.4,51.3,24.4,38.9,9.9,9.8,16.5,26.8,14.4,85.6,90.9,9.1,40.1,59.9
233,Kelly Oubre Jr.,WAS,20,63,31,32,10.7,62.6,37.4,55.1,3.4,31.8,16.5,13.1,16.1,51.7,52.3,47.7,100,0,65.6,34.4
233,Larry Nance Jr.,LAL,23,63,14,49,20.1,96.7,3.3,90,22.9,0.9,17.5,9.1,19.2,67,73.9,26.1,100,0,74.1,25.9
235,Bobby Portis,CHI,21,62,29,33,17.8,88.1,11.9,78,24.3,11,11,11,10.8,53.7,62.9,37.1,93.8,6.3,65.6,34.4
235,Charlie Villanueva,DAL,31,62,29,33,10.7,47.4,52.6,48.9,6.9,44.2,9.7,6.9,12.5,42,56.4,43.6,97.9,2.1,72,28
235,D.J. Augustin,DEN,28,62,35,27,19,52,48,34.3,7.7,43.7,14.6,22,14.6,26.6,17.5,82.5,64.7,35.3,39.2,60.8
235,Derrick Favors,UTA,24,62,30,32,32,99.5,0.5,82.3,19.3,0,1.9,17.7,11.2,63,64.6,35.4,0,0,64.6,35.4
235,Markel Brown,BKN,24,62,12,50,15.8,62.4,37.6,49,17.1,31.4,19,19.6,17.6,32,52.8,47.2,84.2,15.8,62.2,37.8
235,Ronnie Price,PHX,33,62,20,42,19.5,35.1,64.9,29,7.9,61.6,17.5,9.4,22.1,21.1,8.3,91.7,86.8,13.2,54.3,45.7
241,Anthony Davis,NOP,23,61,24,37,35.5,90.5,9.5,70.9,25.8,7.1,9,22,13.8,45.1,72.8,27.2,94.3,5.7,74.1,25.9
241,Chandler Parsons,DAL,27,61,29,32,29.5,61.4,38.6,51.6,9.3,37.3,17.4,11.1,15.8,42.3,48.1,51.9,86.5,13.5,60.6,39.4
241,Donald Sloan,BKN,28,61,13,48,21.6,71.7,28.3,54.7,11.3,26.9,18.4,18.4,13.2,43.4,31,69,86.8,13.2,44.8,55.2
241,Marcus Smart,BOS,22,61,36,25,27.3,54.4,45.6,44.1,3.9,32.8,13.1,23.1,17.6,40.1,39,61,73.8,26.2,50.5,49.5
241,Marcus Thornton,WAS,29,61,32,29,18.2,50.2,49.8,42.4,12.2,46.3,13.9,11.3,15.6,30.2,42.4,57.6,85.7,14.3,60.6,39.4
241,Mario Chalmers,MIA,30,61,38,23,22.5,66.4,33.6,43.3,8,22,16.4,34.7,19.7,35.4,21.3,78.7,73.9,26.1,34.6,65.4
241,Meyers Leonard,POR,24,61,33,28,21.8,47.6,52.4,42.7,22.3,50.5,6.5,6.8,8.4,20.4,75.2,24.8,100,0,86.2,13.8
241,Miles Plumlee,MIL,27,61,23,38,14.3,100,0,89.2,7,0,7.6,10.8,16.6,82.2,75,25,0,0,75,25
241,Rudy Gobert,UTA,24,61,33,28,31.7,100,0,71.1,0.7,0,5.7,28.9,12.9,70.4,62.6,37.4,0,0,62.6,37.4
241,Sasha Vujacic,NYK,32,61,22,39,14.9,48.4,51.6,36.5,25,52.7,10.5,10.8,14.5,11.5,70.4,29.6,94.2,5.8,82.1,17.9
241,Tim Duncan,SAS,40,61,50,11,25.2,99.5,0.5,82.4,13.4,0,3.3,17.6,12.6,69,68.4,31.6,0,0,68.4,31.6
241,Toney Douglas,NOP,30,61,22,39,20.7,54.4,45.6,38.4,12.8,45.8,18.8,15.8,20.9,25.6,39.2,60.8,67.9,32.1,51.9,48.1
253,Cole Aldrich,LAC,27,60,41,19,13.3,100,0,81.7,1.2,0,1.8,18.3,14.6,80.5,77.6,22.4,0,0,77.6,22.4
253,Jonas Valanciunas,TOR,24,60,40,20,25.9,100,0,78.9,10.4,0,2,21.1,12.9,68.5,61.1,38.9,0,0,61.1,38.9
253,Mike Muscala,ATL,24,60,34,26,9.4,74.3,25.7,65.6,17.4,18.5,8.2,15.9,15.9,48.2,79.7,20.3,100,0,82.9,17.1
253,Myles Turner,IND,20,60,32,28,22.8,97.4,2.6,84.3,38.1,1.5,7.4,14.2,13.7,46.2,79.7,20.3,100,0,79.9,20.1
253,Nemanja Bjelica,MIN,28,60,20,40,17.9,46.8,53.2,40.3,2.6,46.8,8.1,12.9,9.7,37.7,67.7,32.3,89.6,10.4,77.3,22.7
253,Tyler Zeller,BOS,26,60,38,22,11.8,100,0,75.8,17.6,0,11.5,24.2,11.3,58.2,78.3,21.7,0,0,78.3,21.7
253,Vince Carter,MEM,39,60,33,27,16.8,50.7,49.3,37.5,11.6,44.8,9.4,17.7,20.8,25.8,50,50,88.1,11.9,66.9,33.1
260,Alexis Ajinca,NOP,28,59,20,39,14.6,99.7,0.3,85.2,35.2,0,1.4,14.8,9.4,50,76.7,23.3,0,0,76.7,23.3
260,E'Twaun Moore,CHI,27,59,29,30,21.4,73.3,26.7,63.2,18.5,31.8,13.1,5,17.2,44.7,43.6,56.4,91.5,8.5,55.6,44.4
260,Joffrey Lauvergne,DEN,24,59,24,35,17.6,86.1,13.9,78.3,15.9,8.4,6.9,13.3,9,62.4,71.4,28.6,92.3,7.7,72.8,27.2
260,Lance Thomas,NYK,28,59,25,34,22.3,71.5,28.5,51.7,21.1,27.3,7.4,21,12.8,30.6,59.2,40.8,90.9,9.1,67.5,32.5
260,Nick Collison,OKC,35,59,39,20,11.9,98.2,1.8,81.3,13,0,3.3,18.7,18.7,68.3,66,34,0,0,66,34
260,Pablo Prigioni,LAC,39,59,37,22,13.9,35.4,64.6,37.2,4.1,57.9,15.9,4.9,25.5,33.1,14.8,85.2,57.1,42.9,36.4,63.6
260,Quincy Acy,SAC,25,59,21,38,14.8,77.1,22.9,65.1,12.4,18.6,15.3,16.3,19.2,52.8,71,29,94.7,5.3,74.8,25.2
260,Solomon Hill,IND,25,59,31,28,14.7,64.4,35.6,56.1,7.3,29.3,11,14.6,22,48.8,49.3,50.7,100,0,62.4,37.6
268,Dewayne Dedmon,ORL,26,58,21,37,12.2,100,0,77.6,7.1,0,6.7,22.4,18.4,70.6,77.8,22.2,0,0,77.8,22.2
268,Manu Ginobili,SAS,38,58,47,11,19.6,58.9,41.1,45.8,11.9,37.8,9,16.4,16.2,33.9,54.3,45.7,91.4,8.6,67.5,32.5
268,Rodney Stuckey,IND,30,58,33,25,22,81.3,18.7,63.1,24.8,11.6,24.2,25.3,18.6,38.3,40.5,59.5,85,15,45.4,54.6
268,Steve Blake,DET,36,58,34,24,17,37.1,62.9,32.3,15.7,61.4,5.5,6.3,15.7,16.5,19.5,80.5,71.2,28.8,48.4,51.6
272,Archie Goodwin,PHX,21,57,14,43,19.5,76.5,23.5,60.6,6.7,13.7,23.4,25.7,17,53.9,34.6,65.4,69.6,30.4,39.2,60.8
272,Cameron Payne,OKC,21,57,44,13,12.2,60.1,39.9,55.1,24,38.2,10.6,6.7,13.4,31.1,14.1,85.9,77.8,22.2,34.2,65.8
272,James Johnson,TOR,29,57,35,22,16.2,72.5,27.5,65.5,4.9,20.9,11.5,13.6,16,60.6,34,66,100,0,45.6,54.4
272,John Henson,MIL,25,57,22,35,16.8,99.7,0.3,82.6,4,0,5,17.4,16.4,78.6,75.6,24.4,0,0,75.6,24.4
272,Nene,WAS,33,57,28,29,19.2,99.2,0.8,79.6,19,0,8.2,20.4,17.5,60.6,64.1,35.9,0,0,64.1,35.9
272,Spencer Hawes,CHA,28,57,30,27,18.2,66.7,33.3,50.6,11.8,33.5,2.9,15.9,9.7,38.8,61.6,38.4,100,0,73.4,26.6
278,Andrew Nicholson,ORL,26,56,22,34,14.7,63.2,36.8,54.7,9.4,32,2.9,13.3,14.1,45.3,36.2,63.8,97.6,2.4,53.4,46.6
278,Mike Conley,MEM,28,56,33,23,31.4,69.1,30.9,50.4,14.5,27.3,11.4,22.3,17.9,35.9,27.3,72.7,78.2,21.8,40.8,59.2
