RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
55,Christian Braun,DEN,22,76,49,27,15.5,66.8,33.2,60.6,1.7,28.3,28.9,11.1,20.3,58.9,67,33,94.1,5.9,73.4,26.6
55,Deni Avdija,WAS,22,76,33,43,26.6,59.9,40.1,52.8,1.1,29.7,15.2,17.5,15.4,51.6,53.8,46.2,94.2,5.8,64.8,35.2
55,Dwight Powell,DAL,31,76,37,39,19.2,98.1,1.9,77.9,0.8,0,7.1,22.1,15.8,77.1,78.7,21.3,0,0,78.7,21.3
55,Isaac Okoro,CLE,22,76,48,28,21.7,51.7,48.3,46.1,0.4,38,24.1,15.9,23.1,45.7,75.2,24.8,95.2,4.8,82.3,17.7
55,Ivica Zubac,LAC,26,76,43,33,28.5,99.6,0.4,79.7,1,0,4.9,20.3,11.2,78.7,73.3,26.7,0,0,73.3,26.7
55,Jalen Green,HOU,21,76,20,56,34.2,59.2,40.8,45,9.6,33.3,9.6,21.7,11.2,35.4,35.1,64.9,57.2,42.8,42.4,57.6
55,Josh Giddey,OKC,20,76,34,42,31.1,79.1,20.9,73.5,4,18.1,15.6,8.4,15.7,69.5,36.3,63.7,93.4,6.6,44.3,55.7
55,Josh Hart,NYK,28,76,42,34,32.3,68.5,31.5,57.6,1.9,24.6,28.1,17.8,15.1,55.7,44.4,55.6,100,0,56.7,43.3
55,Kentavious Caldwell-Pope,DEN,30,76,51,25,31.3,49.5,50.5,38.2,13.6,49.3,21.4,12.5,13.6,24.6,84.7,15.3,92.6,7.4,88.4,11.6
55,Killian Hayes,DET,21,76,16,60,28.3,64.9,35.1,57.8,17,30.5,8.9,11.7,14.8,40.7,14.1,85.9,76.3,23.8,30.3,69.7
55,Nic Claxton,BKN,24,76,41,35,29.9,99.7,0.3,86.2,0.6,0,12.3,13.8,14.5,85.5,76.3,23.7,0,0,76.3,23.7
55,Royce O'Neale,BKN,30,76,42,34,31.7,29.3,70.7,19.7,0,72.9,14,7.4,12.5,19.7,39.4,60.6,97.5,2.5,80.8,19.2
55,Shake Milton,PHI,26,76,52,24,20.6,70.6,29.4,58.1,6.3,26.4,15.7,15.5,14.8,51.8,41.6,58.4,91.1,8.9,53.1,46.9
55,Troy Brown Jr.,LAL,23,76,40,36,24.5,39.6,60.4,34.4,5.2,59.3,13.1,6.3,6.5,29.2,66.7,33.3,95.3,4.7,82,18
70,Alperen Sengun,HOU,20,75,18,57,28.9,92.9,7.1,76.3,2.2,5.1,4.5,18.6,10.6,74.1,49.9,50.1,100,0,52,48
70,Andrew Nembhard,IND,23,75,32,43,27.6,59.2,40.8,54.2,11.3,38.9,17.6,6.9,17.1,42.9,40.6,59.4,91.3,8.7,57,43
70,Bam Adebayo,MIA,25,75,40,35,34.6,98.9,1.1,78.6,6.8,0.2,10,21.2,16.2,71.8,60.1,39.9,100,0,60.1,39.9
70,CJ McCollum,NOP,31,75,38,37,35.3,59.6,40.4,48,14.8,40.4,12.6,11.6,10.7,33.2,30.3,69.7,75.8,24.2,46.7,53.3
70,Jalen Williams,OKC,22,75,36,39,30.3,74.2,25.8,64.6,4.5,20.7,13.8,14.7,20.5,60,41.6,58.4,90.4,9.6,50.2,49.8
70,Kevin Huerter,SAC,24,75,44,31,29.4,41.1,58.9,37.7,6.1,53.9,10.6,8.4,15,31.6,66.5,33.5,89.3,10.7,77.6,22.4
70,P.J. Tucker,PHI,38,75,48,27,25.6,37.8,62.2,30.8,3,62,1.1,7.2,7.1,27.8,73.2,26.8,98.2,1.8,87.5,12.5
70,T.J. McConnell,IND,31,75,31,44,20.4,88.7,11.3,79.1,13.5,12,11.1,8.9,14.6,65.5,23.7,76.3,69.2,30.8,27.9,72.1
70,Usman Garuba,HOU,21,75,21,54,12.9,66.7,33.3,55.1,0,32,4.9,12.9,18.7,55.1,61.3,38.7,100,0,72.1,27.9
79,Caris LeVert,CLE,28,74,45,29,30.2,56.3,43.7,43,3.1,42.5,11.3,14.5,16.6,39.9,37.3,62.7,70.9,29.1,50.6,49.4
79,Coby White,CHI,23,74,37,37,23.4,42.1,57.9,37.8,6.4,53.7,20.3,8.5,16.9,31.3,34.8,65.2,96.1,3.9,64.6,35.4
79,Corey Kispert,WAS,24,74,31,43,28.3,34.4,65.6,31.2,1.2,59.6,15.6,9.2,15.9,30,76.6,23.4,98.2,1.8,88.7,11.3
79,Damion Lee,PHX,30,74,40,34,20.4,45.4,54.6,29.8,7.9,54.6,10.6,15.6,17.2,21.9,70,30,99.1,0.9,86,14
79,DeMar DeRozan,CHI,33,74,37,37,36.2,89.1,10.9,67.3,35,7.6,4.7,25.1,13.4,32.3,24.4,75.6,84.8,15.2,28.6,71.4
79,Dejounte Murray,ATL,26,74,38,36,36.4,70.7,29.3,63.2,22,26.3,11.7,10.5,15,41.2,19.4,80.6,72.9,27.1,31,69
79,Jaden Ivey,DET,21,74,16,58,31.1,64.4,35.6,48,10.5,29.9,13.1,22.1,12.3,37.5,24.6,75.4,73.3,26.7,38.9,61.1
79,Jayson Tatum,BOS,25,74,52,22,36.9,56,44,43.8,5,32.4,12.1,23.8,15.1,38.7,51.5,48.5,64.6,35.4,55.8,44.2
79,Joe Harris,BKN,31,74,40,34,20.6,24.3,75.7,21,3.2,75.8,20.1,3.2,14.2,17.8,79.7,20.3,100,0,94,6
79,Luguentz Dort,OKC,24,74,36,38,30.7,53.2,46.8,40.3,3,40,10.5,19.7,17.1,37.3,51,49,88.9,11.1,66.1,33.9
79,Tobias Harris,PHI,30,74,47,27,32.9,61.7,38.3,54.7,6.1,34.8,18.3,10.5,15.9,48.7,49.5,50.5,93.7,6.3,62.6,37.4
79,Trey Lyles,SAC,27,74,43,31,16.9,41.2,58.8,35.6,0.4,46.4,14.2,18,18.3,35.2,69,31,98.9,1.1,82.9,17.1
79,Walker Kessler,UTA,21,74,34,40,23,99.3,0.7,87.5,0.6,0.4,9.1,12.1,13.3,86.9,67,33,100,0,67.1,32.9
92,Aaron Nesmith,IND,23,73,30,43,24.9,46.8,53.2,37.1,4.9,46.7,17.9,16.2,16.1,32.2,70.1,29.9,96.5,3.5,82.1,17.9
92,De'Aaron Fox,SAC,25,73,44,29,33.4,72.4,27.6,61.7,13,19.6,13.3,18.7,11.2,48.6,16,84,61.3,38.7,23.9,76.1
92,Devonte' Graham,SAS,28,73,31,42,18.3,21.6,78.4,15.6,4.8,66.2,12.2,18.2,15,10.8,31,69,79.8,20.2,67.1,32.9
92,Dillon Brooks,MEM,27,73,46,27,30.3,55.7,44.3,47.6,8,41,11.3,11.4,14.2,39.5,43.8,56.2,79.7,20.3,56.9,43.1
92,Draymond Green,GSW,33,73,41,32,31.5,72.4,27.6,68.1,3.2,19.4,14.6,12.5,11.8,64.8,85.2,14.8,100,0,87.6,12.4
92,Isaiah Joe,OKC,23,73,36,37,19.1,22.4,77.6,18.2,7.8,69.9,10,11.9,18.7,10.4,71.4,28.6,95,5,88.4,11.6
92,P.J. Washington,CHA,24,73,24,49,32.6,56.2,43.8,49.8,5.4,39.1,10.4,11.1,11.2,44.4,74,26,91.9,8.1,80.2,19.8
92,RJ Barrett,NYK,23,73,40,33,33.9,66.8,33.2,54.4,2.7,25.4,13.2,20.2,13.8,51.7,42.4,57.6,92.6,7.4,54.3,45.7
92,Russell Westbrook,LAC,34,73,36,37,29.1,71.1,28.9,59.2,8.8,23,13,17.8,13,50.4,23,77,66.3,33.7,31.9,68.1
92,Trae Young,ATL,24,73,38,35,34.8,66.9,33.1,46.3,10.2,24.1,9.6,29.6,13.7,36.1,17.4,82.6,32.5,67.5,21.3,78.7
102,AJ Griffin,ATL,19,72,34,38,19.5,51.4,48.6,46,9.7,47.4,10.5,6.6,11,36.3,55.8,44.2,89.1,10.9,69.4,30.6
102,Donte DiVincenzo,GSW,26,72,42,30,26.3,30,70,25.1,1.8,66.4,9.6,8.5,16.1,23.3,61.2,38.8,92.7,7.3,81.3,18.7
102,Grayson Allen,MIL,27,72,53,19,27.4,34.3,65.7,26.4,1.3,58.4,15.5,15.2,14.3,25.1,60.6,39.4,88.4,11.6,77.1,22.9
102,Jakob Poeltl,TOR,27,72,26,46,26.5,99.8,0.2,86.7,2.5,0,5.1,13.3,16.5,84.3,65.6,34.4,0,0,65.6,34.4
102,John Konchar,MEM,27,72,45,27,20.7,44.7,55.3,42.9,1.1,49.5,23.6,7.6,18.7,41.8,76.9,23.1,95,5,84.8,15.2
102,Josh Okogie,PHX,24,72,38,34,18.8,52.4,47.6,36.3,3.4,37.4,12.3,26.3,19.1,32.9,44.8,55.2,93.9,6.1,64.8,35.2
102,Paolo Banchero,ORL,20,72,31,41,33.7,74.6,25.4,54.8,12.4,17.7,13.4,27.5,15.6,42.4,40.4,59.6,70.6,29.4,45.7,54.3
109,Caleb Martin,MIA,27,71,38,33,29.3,56.9,43.1,49.8,11.4,36.9,16.4,13.3,16.4,38.4,61.2,38.8,85.7,14.3,69.3,30.7
109,D'Angelo Russell,LAL,27,71,39,32,32.5,48.3,51.7,39.7,12.8,46.1,13,14.2,15.4,26.9,31.5,68.5,68,32,47.4,52.6
109,John Collins,ATL,25,71,37,34,30,66.1,33.9,62.1,9.7,22.6,11,15.3,16.1,52.4,79.2,20.8,95.7,4.3,82.5,17.5
109,Matisse Thybulle,POR,26,71,38,33,16.9,41.5,58.5,38.2,1.4,55.3,15,6.5,21.5,36.9,76.8,23.2,98.1,1.9,87.3,12.7
109,Pascal Siakam,TOR,29,71,35,36,37.4,78.1,21.9,62.4,12.7,16.2,15.1,21.4,16.6,49.8,31.7,68.3,86,14,39.7,60.3
109,Quentin Grimes,NYK,23,71,41,30,29.9,32.4,67.6,31.3,1.3,58.9,17.5,9.8,15.5,30,77.6,22.4,99.4,0.6,89.7,10.3
109,Tim Hardaway Jr.,DAL,31,71,37,34,30.3,35.1,64.9,25.1,7.5,62.4,13.8,12.5,11.5,17.7,64.1,35.9,89.6,10.4,80,20
116,Aaron Wiggins,OKC,24,70,37,33,18.5,66.4,33.6,57.6,0,30.1,21.3,12.3,21.9,57.6,69.6,30.4,95.8,4.2,76.3,23.7
116,Bobby Portis,MIL,28,70,47,23,26,68,32,61.4,14.8,28.9,6.2,9.7,10,46.6,59.7,40.3,100,0,69.3,30.7
116,Bol Bol,ORL,23,70,26,44,21.5,76.4,23.6,72.9,8.5,14.2,16.7,12.9,17.7,64.4,53.7,46.3,76.7,23.3,56.3,43.7
116,David Roddy,MEM,22,70,44,26,18,49.5,50.5,49.4,2.1,41.8,18,8.8,13.1,47.2,60.9,39.1,96.9,3.1,73.9,26.1
116,Jalen Johnson,ATL,21,70,35,35,14.9,67.7,32.3,64.8,2.5,22.8,27.6,12.4,24.8,62.3,62.5,37.5,100,0,69.6,30.4
116,Kendrick Nunn,WAS,27,70,30,40,13.8,50.4,49.6,45.2,10.9,47.8,11.3,7,13.9,34.3,36.6,63.4,69.6,30.4,50.3,49.7
116,Rudy Gobert,MIN,31,70,34,36,30.7,99.5,0.5,76.7,0.4,0,5,23.3,13.7,76.3,74.4,25.6,0,0,74.4,25.6
123,Darius Garland,CLE,23,69,40,29,35.5,63.5,36.5,47.4,11.1,34,9.9,18.6,18.6,36.2,28.6,71.4,58,42,38.1,61.9
123,Eric Gordon,LAC,34,69,25,44,28.5,45.5,54.5,37.1,0.5,46.3,9.3,16.6,11.6,36.7,39,61,81.1,18.9,58.1,41.9
123,Fred VanVleet,TOR,29,69,34,35,36.7,45.5,54.5,34.5,10.5,46.5,15.6,19,14.7,24,18.7,81.3,59.4,40.6,38,62
123,JT Thor,CHA,20,69,22,47,14,48.3,51.7,42.7,8.4,44.7,9.5,12.6,12.6,34.4,67.9,32.1,97.4,2.6,80,20
123,Jock Landale,PHX,27,69,35,34,14.2,75.1,24.9,68.9,2.6,13.8,6.8,17.3,15.1,66.2,77.1,22.9,100,0,79.8,20.2
123,Klay Thompson,GSW,33,69,38,31,33,41.6,58.4,32.5,13.9,59.8,15.9,7.7,15.2,18.6,72.7,27.3,89,11,81.7,18.3
123,Kyle Anderson,MIN,29,69,36,33,28.4,78.8,21.2,64.6,3.4,19.9,8.5,15.5,15.1,61.2,51.2,48.8,93,7,58.3,41.7
123,Luke Kornet,BOS,27,69,45,24,11.7,92.4,7.6,84.3,0,3.4,2.7,12.3,13,84.3,76.4,23.6,100,0,77,23
123,Nikola Jokic,DEN,28,69,48,21,33.7,85.4,14.6,69.7,5.3,10.1,5.6,20.2,12.4,64.4,60.6,39.4,84.2,15.8,62.7,37.3
123,Paul Reed,PHI,24,69,44,25,10.9,97.1,2.9,85.7,3.5,1,7.7,13.3,16.4,82.2,69.1,30.9,100,0,69.4,30.6
133,Aaron Gordon,DEN,27,68,45,23,30.2,77.3,22.7,66.5,2.5,16.2,14.3,17.3,12.6,64,63.1,36.9,73.3,26.7,64.6,35.4
133,Donovan Mitchell,CLE,26,68,44,24,35.8,54.7,45.3,45.2,9.2,38.2,13,16.6,15,36,26,74,48.2,51.8,34,66
133,Gabe Vincent,MIA,27,68,37,31,25.9,38.3,61.7,34.6,11.5,54.8,5.6,10.6,13.9,23.1,43.2,56.8,73.5,26.5,58.8,41.2
133,Jalen Brunson,NYK,26,68,40,28,35,73.1,26.9,55.5,12.2,24.6,7.5,19.9,11.7,43.2,16.6,83.4,57.5,42.5,25.9,74.1
133,Jalen Smith,IND,23,68,31,37,18.8,62.4,37.6,58.6,3.7,25.2,13.9,16.2,11.5,54.8,73.4,26.6,100,0,79.3,20.7
133,Jarrett Allen,CLE,25,68,44,24,32.6,98.4,1.6,83,2.7,0.3,6.6,16.7,13.9,80.3,77.4,22.6,100,0,77.4,22.6
133,Kelly Olynyk,UTA,32,68,28,40,28.6,57.6,42.4,43.7,2.8,32.9,8.3,23.4,9.3,40.9,64.3,35.7,96.8,3.2,75.2,24.8
133,Naz Reid,MIN,23,68,32,36,18.4,62.4,37.6,60.2,0.8,28.8,8.2,11,17.5,59.4,65.5,34.5,100,0,73.9,26.1
133,Reggie Jackson,DEN,33,68,36,32,24.4,55,45,48.2,9.2,41.6,10.1,10.2,10.5,39,25.7,74.3,85.4,14.6,47.5,52.5
133,Shai Gilgeous-Alexander,OKC,24,68,33,35,35.5,87.8,12.2,60.5,9.7,8.1,12.7,31.4,17.7,50.8,20.1,79.9,31,69,21,79
133,Tre Jones,SAS,23,68,20,48,29.2,78.7,21.3,67.7,8.7,15.4,14.6,16.9,15.2,59,26,74,86.7,13.3,34,66
133,Wenyen Gabriel,LAL,26,68,37,31,15.1,86.2,13.8,78,0.5,8.1,5.4,13.9,12.1,77.4,67.6,32.4,90,10,69,31
145,Alex Caruso,CHI,29,67,33,34,23.5,47.2,52.8,40.1,2.7,44.1,17.6,15.8,22.5,37.4,53.3,46.7,94.5,5.5,70.8,29.2
145,Andre Drummond,CHI,29,67,32,35,12.7,98.9,1.1,83.2,0,0,12,16.8,19.3,83.2,61.4,38.6,0,0,61.4,38.6
145,Christian Wood,DAL,27,67,33,34,25.9,63.7,36.3,52.2,4.5,28.3,6.7,19.5,13.5,47.8,61.5,38.5,97.1,2.9,71,29
145,De'Andre Hunter,ATL,25,67,35,32,31.7,65.2,34.8,54.2,20.8,29.2,13.3,16.6,14.9,33.4,58.8,41.2,91,9,67.3,32.7
145,Deandre Ayton,PHX,24,67,36,31,30.4,97.3,2.7,85.6,12.3,1.7,3.1,12.7,15.7,73.3,79.2,20.8,85.7,14.3,79.3,20.7
145,Jalen Duren,DET,19,67,16,51,24.9,99.5,0.5,84.3,2.3,0,9,15.7,13.2,82,66.7,33.3,0,0,66.7,33.3
145,Jaylen Brown,BOS,26,67,46,21,35.9,64.8,35.2,57.8,10.8,27.4,17.5,14.8,14.3,47.1,47.7,52.3,68.7,31.3,52.7,47.3
145,Jonathan Kuminga,GSW,20,67,38,29,20.8,70.6,29.4,62.2,3.6,24.3,10.4,13.5,15,58.6,64.3,35.7,94.4,5.6,70.5,29.5
145,Jrue Holiday,MIL,33,67,50,17,32.6,59.8,40.2,51.5,10.5,36.7,10.1,11.8,12.9,40.9,24.7,75.3,43,57,30.6,69.4
145,Keita Bates-Diop,SAS,27,67,18,49,21.7,69.5,30.5,55.6,0.9,26,13.6,18.4,18.7,54.7,65,35,98.2,1.8,72.9,27.1
145,Malcolm Brogdon,BOS,30,67,46,21,26,59.4,40.6,44.4,8.2,39.6,12,16,11.3,36.2,34.2,65.8,65.9,34.1,46,54
145,Mike Conley,MIN,35,67,34,33,30.3,42.5,57.5,31.6,4.8,50.8,9.1,17.6,14.2,26.8,38.1,61.9,69.6,30.4,54.4,45.6
145,O.G. Anunoby,TOR,25,67,33,34,35.6,58.5,41.5,49.6,5.5,37.9,22.6,12.5,23.8,44.1,56.6,43.4,95.8,4.2,69.8,30.2
145,Obi Toppin,NYK,25,67,37,30,15.7,41.1,58.9,41,1.2,51.3,22.9,7.7,15.3,39.8,86.3,13.7,96.5,3.5,90.9,9.1
145,Patrick Beverley,CHI,34,67,34,33,27.1,33.6,66.4,30.8,2.9,57.8,9.2,11.4,12,28,35.9,64.1,87.5,12.5,64.6,35.4
145,Tre Mann,OKC,22,67,31,36,17.7,48.7,51.3,44.9,8.5,47,9.1,8.1,21.3,36.4,26.7,73.3,60.5,39.5,40.6,59.4
145,Tyler Herro,MIA,23,67,37,30,34.9,51.6,48.4,42.2,10.7,45.2,9.1,12.6,17.3,31.5,39.1,60.9,70.4,29.6,52.2,47.8
162,Chimezie Metu,SAC,26,66,41,25,10.4,82.6,17.4,74.8,3.1,8.4,14.3,16.8,17.1,71.7,78.3,21.7,100,0,79.8,20.2
162,Dennis Schroder,LAL,29,66,37,29,30.1,65.4,34.6,47.2,13.3,26.7,9,26.1,9.2,34,24.5,75.5,90.5,9.5,42.6,57.4
162,Dorian Finney-Smith,BKN,30,66,31,35,30.4,32.5,67.5,29.8,0.7,62.1,8.3,8.1,17.1,29,67.1,32.9,97.4,2.6,84.7,15.3
162,Gary Trent Jr.,TOR,24,66,31,35,32.1,51.9,48.1,41.6,13.6,43.4,20.1,15,19.9,28,49.8,50.2,86.1,13.9,64.7,35.3
162,Herbert Jones,NOP,24,66,31,35,29.6,66.7,33.3,55.2,1.5,25.9,21.6,18.9,19.7,53.6,67,33,96.4,3.6,74,26
