RANKING,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
9,Nemanja Bjelica,SAC,32,72,31,41,27.9,51,49,43.3,3.4,48.4,8.3,8.3,14.4,40,55,45,94.8,5.2,72,28
9,P.J. Tucker,HOU,35,72,44,28,34.3,29.8,70.2,28,3.6,64.2,7.4,7.8,15.6,24.4,72.9,27.1,99.1,0.9,88.7,11.3
9,Terence Davis,TOR,23,72,53,19,16.8,44.5,55.5,38.7,0.7,51.9,19,9.4,16.4,37.9,41.9,58.1,90.4,9.6,64.8,35.2
9,Tobias Harris,PHI,27,72,43,29,34.3,69.6,30.4,59.8,11.1,27.9,11.9,12.3,14.6,48.8,47.9,52.1,86.3,13.7,57,43
21,Ben McLemore,HOU,27,71,44,27,22.8,17.1,82.9,17.1,0.3,75.9,13.4,7,13,16.8,86.9,13.1,96.7,3.3,94.2,5.8
21,Brad Wanamaker,BOS,30,71,48,23,19.3,71.8,28.2,51.3,8.2,22.8,26.5,25.9,22.8,43.1,43.2,56.8,89.2,10.8,53.7,46.3
21,Dorian Finney-Smith,DAL,27,71,40,31,29.9,42,58,38.1,1.2,50.4,14.5,11.5,16.5,36.9,63.6,36.4,96.5,3.5,79,21
21,Jerami Grant,DEN,26,71,45,26,26.6,60.3,39.7,48.2,6.8,34.5,8.2,17.3,13.3,41.4,76.6,23.4,100,0,84.2,15.8
21,Jordan Clarkson,UTA,28,71,34,37,24,52.4,47.6,44.9,3.5,42.3,9.7,12.8,13.8,41.4,25.6,74.4,77,23,45.4,54.6
21,Royce O'Neale,UTA,27,71,44,27,28.9,33.2,66.8,29.3,1.3,61.3,19.3,9.4,20,28,84.8,15.2,100,0,93.7,6.3
21,T.J. McConnell,IND,28,71,44,27,18.7,95.9,4.1,89.2,20.7,3.2,12.1,7.6,13.8,68.5,23.2,76.8,100,0,25,75
21,Tim Hardaway Jr.,DAL,28,71,41,30,29.5,42,58,32.1,11.1,54.6,10.8,13.3,12,21.1,51.7,48.3,83.8,16.2,68.8,31.3
29,Anfernee Simons,POR,21,70,32,38,20.7,57.8,42.2,48,15.5,38.9,13.6,13.1,14.2,32.5,37.4,62.6,68,32,48.1,51.9
29,CJ McCollum,POR,28,70,34,36,36.5,62.2,37.8,53.6,19.5,37.4,14.2,9,12.5,34.1,22.3,77.7,66.5,33.5,36.3,63.7
29,Chris Paul,OKC,35,70,44,26,31.5,65.7,34.3,52.4,25.5,27,8.2,20.6,14.1,26.9,12.4,87.6,32.4,67.6,17.5,82.5
29,Devin Booker,PHX,23,70,34,36,35.9,69,31,52.2,16.4,22.7,15,25.1,16.2,35.7,41.6,58.4,61,39,45.9,54.1
29,Jarrett Allen,BKN,22,70,33,37,26.5,98.7,1.3,77.9,0.5,0,4.8,22.1,12.3,77.4,79.5,20.5,0,0,79.5,20.5
29,Jonas Valanciunas,MEM,28,70,32,38,26.4,87.7,12.3,76.6,3.4,9.2,4.8,14.2,11.5,73.2,58.8,41.3,100,0,61.8,38.2
29,Robert Covington,HOU,29,70,27,43,30.5,33.6,66.4,33.1,2.3,55.5,16.1,11.4,17.1,30.8,77.1,22.9,92.5,7.5,85.2,14.8
29,Shai Gilgeous-Alexander,OKC,21,70,43,27,34.7,75.3,24.7,58.8,9.9,19.6,10.4,21.6,17.3,48.8,23.5,76.5,54,46,29.1,70.9
37,Donovan Mitchell,UTA,23,69,43,26,34.3,64.8,35.2,51.8,13.3,31.4,5.9,16.8,8.3,38.5,21.7,78.3,59.5,40.5,32.6,67.4
37,Doug McDermott,IND,28,69,43,26,19.9,46.3,53.7,39.2,5.1,54.1,11.8,6.7,13.8,34.1,85.6,14.4,100,0,92.5,7.5
37,Dwight Howard,LAL,34,69,52,17,18.9,98.2,1.8,77,0.8,1.7,6,21.3,13.5,76.2,61.8,38.2,100,0,62.4,37.6
37,Grant Williams,BOS,21,69,47,22,15.1,54.5,45.5,53.2,3.4,30.4,3,16.4,19,49.8,61.9,38.1,87.5,12.5,69,31
37,James Ennis III,ORL,29,69,42,27,18.3,52.9,47.1,46.3,2.6,36.3,22.9,17.4,16.7,43.6,66.7,33.3,89.1,10.9,74.4,25.6
37,Joe Harris,BKN,28,69,33,36,30.8,48.2,51.8,41.9,4.4,51.7,11.2,6.4,14.1,37.5,76.6,23.4,95.9,4.1,85.3,14.7
37,Kentavious Caldwell-Pope,LAL,27,69,51,18,25.5,52.9,47.1,45,11.5,42.8,23.9,12.2,18.1,33.5,76.6,23.4,92.4,7.6,82.7,17.3
37,O.G. Anunoby,TOR,22,69,50,19,29.9,59.7,40.3,53.8,1.4,36.4,19.1,9.8,25.2,52.4,64,36,95.5,4.5,73.8,26.2
37,Semi Ojeleye,BOS,25,69,46,23,14.6,35.2,64.8,27.1,5.1,61,8.5,11.9,14,22,62.5,37.5,95.8,4.2,82.5,17.5
37,Terrence Ross,ORL,29,69,31,38,27.4,40.4,59.6,32.3,13.6,52.3,10.6,15.4,14.3,18.7,62.8,37.2,87,13,75.4,24.6
37,Troy Brown Jr.,WAS,20,69,24,45,25.8,71.2,28.8,59.2,13.7,25.6,15.1,15.2,16.8,45.5,52.8,47.2,96.7,3.3,62.6,37.4
48,Austin Rivers,HOU,27,68,43,25,23.4,46.1,53.9,38.6,1,48.3,8.6,13.1,17.4,37.6,27,73,70.8,29.2,46.9,53.1
48,Brook Lopez,MIL,32,68,53,15,26.7,51.6,48.4,46.7,5.7,37.6,5.5,15.7,9.2,41.1,66.8,33.2,99,1,78.1,21.9
48,Danny Green,LAL,33,68,51,17,24.8,31,69,28.2,4.8,65.8,24.3,6,17.7,23.4,67.5,32.5,97.5,2.5,85.8,14.2
48,DeMar DeRozan,SAS,30,68,31,37,34.1,96.7,3.3,72.9,22.6,1.8,8.8,25.3,12.5,50.3,27,73,88.9,11.1,28,72
48,Derrick White,SAS,25,68,32,36,24.7,60.9,39.1,45.5,5.8,31,13.6,23.5,10.7,39.7,38.5,61.5,81,19,51.8,48.2
48,Ish Smith,WAS,31,68,23,45,26.3,75.5,24.5,66.5,21.9,25.1,14.1,8.4,17,44.6,17.1,82.9,74.2,25.8,28.6,71.4
48,JaVale McGee,LAL,32,68,51,17,16.6,98,2,86.1,1.8,2,9.9,11.9,14.8,84.3,71.9,28.1,66.7,33.3,71.8,28.2
48,James Harden,HOU,30,68,43,25,36.5,44.3,55.7,31.9,0.9,38.4,10.3,29.7,15.6,31.1,13.9,86.1,17.1,82.9,15.3,84.7
48,Kent Bazemore,SAC,30,68,32,36,24.8,54.3,45.7,38.9,5.7,42.2,17.9,18.9,20.3,33.2,49.1,50.9,95.2,4.8,68.5,31.5
48,Mike Scott,PHI,31,68,39,29,17.8,38,62,33.8,5.4,58.8,15.7,7.4,10.5,28.4,69.6,30.4,100,0,85.9,14.1
48,Rudy Gobert,UTA,28,68,42,26,34.3,100,0,75.2,0,0,4.1,24.8,12.8,75.2,74.9,25.1,0,0,74.9,25.1
59,Al Horford,PHI,34,67,39,28,30.2,60.1,39.9,55.1,17.5,37.2,8.3,7.7,11.2,37.6,61.4,38.6,98,2,72.7,27.3
59,Hassan Whiteside,POR,31,67,34,33,30,99,1,83.1,6.7,1.2,2.2,15.7,11.6,76.3,64.6,35.4,100,0,64.9,35.1
59,Ja Morant,MEM,20,67,33,34,31,80.9,19.1,64.9,4.9,15.1,14.2,20,15.3,60,28.2,71.8,55,45,31.8,68.2
59,Kelly Olynyk,MIA,29,67,41,26,19.4,41.2,58.8,32.4,3.6,51.9,7.3,15.7,14.4,28.8,69.7,30.3,94.7,5.3,82.6,17.4
59,Kendrick Nunn,MIA,24,67,42,25,29.3,57.2,42.8,51.6,15.8,40.1,11.5,8.3,15.3,35.7,37.1,62.9,75.2,24.8,50.1,49.9
59,Kyle Anderson,MEM,26,67,32,35,19.8,74.3,25.7,68.2,12.3,18.5,18.7,13.3,14.1,55.9,54.1,45.9,100,0,61.1,38.9
59,LeBron James,LAL,35,67,50,17,34.6,67.4,32.6,58.3,8.1,26.1,18.9,15.6,18.1,50.2,23.4,76.6,47.3,52.7,28.9,71.1
59,Pat Connaughton,MIL,27,67,53,14,18.6,44.9,55.1,45.6,0.6,45.8,10.6,8.6,17.5,45,73.2,26.8,94.5,5.5,81.8,18.2
59,Rudy Gay,SAS,33,67,30,37,21.8,63.1,36.9,52.9,20.1,30.6,9.1,16.5,16.8,32.8,49,51,85.1,14.9,59,41
59,T.J. Warren,IND,26,67,42,25,32.9,77.3,22.7,66.8,16.7,20.6,19.9,12.6,22,50.1,60.9,39.1,90.1,9.9,65.9,34.1
59,Wesley Matthews,MIL,33,67,52,15,24.4,29.6,70.4,23.9,3.6,65.6,18,10.5,11.5,20.2,61,39,93.5,6.5,82,18
70,Aaron Holiday,IND,23,66,42,24,24.5,60.7,39.3,46.6,10.2,41.6,12.3,11.8,14,36.4,28.8,71.2,83.9,16.1,49.4,50.6
70,Alec Burks,PHI,28,66,21,45,26.6,60.8,39.2,41.3,11.9,35,9.8,23.7,13.6,29.4,42.4,57.6,68.1,31.9,51.7,48.3
70,Bobby Portis,NYK,25,66,21,45,21.1,68.3,31.7,59.3,15,30.1,6.4,10.6,13.8,44.3,56.6,43.4,98.5,1.5,67.2,32.8
70,Damian Lillard,POR,29,66,33,33,37.5,50,50,35.8,6.6,41,8.2,23.2,10.1,29.2,9.9,90.1,28.9,71.1,18.1,81.9
70,Dario Saric,PHX,26,66,32,34,24.7,56.3,43.7,48.9,6.8,35.8,6.4,15.3,13.8,42,66.9,33.1,97.6,2.4,77,23
70,Dejounte Murray,SAS,23,66,29,37,25.6,82.6,17.4,70.3,24.4,17.1,19.2,12.6,17.2,45.8,28.1,71.9,97.6,2.4,37.8,62.2
70,Donte DiVincenzo,MIL,23,66,53,13,23,51.6,48.4,48.9,5.9,40.8,20.3,10.3,17,43,53.7,46.3,81.9,18.1,63.8,36.2
70,Evan Fournier,ORL,27,66,28,38,31.4,53.3,46.7,42.8,11.1,42.5,10.8,14.7,15.5,31.6,43.7,56.3,82.7,17.3,59.2,40.8
70,Georges Niang,UTA,27,66,41,25,14,30.1,69.9,26,2.6,68.9,12.2,5.1,9.7,23.5,41.2,58.8,98.9,1.1,78,22
70,Isaac Bonga,WAS,20,66,22,44,18.9,69.7,30.3,56.4,1.8,22.7,20,20.9,20.9,54.5,55.9,44.1,100,0,65.3,34.7
70,Jakob Poeltl,SAS,24,66,30,36,17.7,100,0,89.2,2.7,0,10.2,10.8,12.6,86.6,75.3,24.7,0,0,75.3,24.7
70,Jayson Tatum,BOS,22,66,46,20,34.3,61.7,38.3,46.9,10.2,36.7,12.8,16.4,14.4,36.7,43.3,56.7,54.5,45.5,47.1,52.9
70,Langston Galloway,DET,28,66,20,46,25.8,38.9,61.1,30.7,7.7,58.5,16.4,10.8,14.9,23,71.2,28.8,99.2,0.8,86.9,13.1
70,Patty Mills,SAS,31,66,28,38,22.5,32.6,67.4,27.1,10.4,60.2,15.9,12.7,15.4,16.7,51,49,77.9,22.1,67.1,32.9
70,Robin Lopez,MIL,32,66,51,15,14.5,64.9,35.1,62.7,3.9,29.4,7.8,7.9,11.5,58.8,58,42,100,0,68,32
85,Cedi Osman,CLE,25,65,19,46,29.4,47.3,52.7,39.8,3.9,51.4,14.5,8.8,12.8,35.9,54.5,45.5,89.4,10.6,70.7,29.3
85,Coby White,CHI,20,65,22,43,25.8,52.5,47.5,41.7,8.6,46.4,19,11.9,21.9,33.1,26.3,73.7,75.9,24.1,47.4,52.6
85,Collin Sexton,CLE,21,65,19,46,33,76.5,23.5,61.7,9.8,21.6,15.5,16.7,13.9,51.9,29.3,70.7,74.2,25.8,37.8,62.2
85,Daniel Theis,BOS,28,65,42,23,24.1,77.5,22.5,69.6,5.7,16,6.5,14.4,14.5,63.9,80.4,19.6,100,0,83,17
85,Dennis Schroder,OKC,26,65,40,25,30.8,66.3,33.7,53.4,19,30.5,9,16.1,17.9,34.3,35.7,64.3,84,16,49,51
85,Jae Crowder,MIA,29,65,29,36,28.8,30,70,26.6,3.8,59.2,17.7,14.2,16.2,22.8,64.8,35.2,85.2,14.8,77,23
85,Josh Hart,NOP,25,65,26,39,27,33.5,66.5,31.7,0.9,55.3,27.7,13,16,30.8,46.2,53.8,96.7,3.3,73.3,26.7
85,Justin Jackson,DAL,25,65,39,26,16.1,52.2,47.8,48.3,3.3,40,13.3,11.7,10.3,45,81.6,18.4,93.8,6.3,85.9,14.1
85,Kevin Knox II,NYK,20,65,21,44,17.9,50.4,49.6,37.7,8.1,46.5,12.2,15.8,16.7,29.6,50.6,49.4,92.3,7.7,69.4,30.6
85,Lou Williams,LAC,33,65,44,21,28.7,66.3,33.7,47.3,16.2,28.1,13.4,24.6,14.6,31.1,20.7,79.3,64,36,33,67
85,Matisse Thybulle,PHI,23,65,40,25,19.8,40.8,59.2,36.7,1.3,55.1,20,8.2,21.6,35.4,73.2,26.8,100,0,86.6,13.4
85,Miles Bridges,CHA,22,65,23,42,30.7,60.2,39.8,52.2,3.3,35.2,11.4,12.6,13.6,48.9,51.4,48.6,93.9,6.1,64.6,35.4
85,Ricky Rubio,PHX,29,65,32,33,31,68.8,31.2,49.4,18.7,27.6,10.4,23,13.3,30.7,27.8,72.2,87.2,12.8,43.9,56.1
85,Tomas Satoransky,CHI,28,65,22,43,28.9,63.9,36.1,53.7,4.7,29.8,15.7,16.5,22.8,49.1,34.1,65.9,90.6,9.4,49.4,50.6
85,Tyus Jones,MEM,24,65,32,33,19,71.1,28.9,62,12.8,29.1,20.2,8.9,17.6,49.2,38.7,61.3,74.5,25.5,47.2,52.8
100,Alex Caruso,LAL,26,64,48,16,18.4,58.8,41.2,45.8,4,34.4,22.3,19.8,17.8,41.8,57.5,42.5,87.5,12.5,67.5,32.5
100,Jaxson Hayes,NOP,20,64,28,36,16.9,98.5,1.5,73.3,0.4,0.6,13.1,26.1,12.5,72.9,80.9,19.1,100,0,81,19
100,Julius Randle,NYK,25,64,21,43,32.5,77,23,63.9,8.8,15.4,5.8,20.7,14.3,55.1,40.4,59.6,93.8,6.3,47.7,52.3
100,Seth Curry,DAL,29,64,38,26,24.6,44.1,55.9,35.1,14.9,54.9,14.4,10,15,20.2,42.4,57.6,80,20,61.6,38.4
100,Spencer Dinwiddie,BKN,27,64,30,34,31.2,60.8,39.2,45.7,3.5,28,11,26.3,11.6,42.2,17.6,82.4,49.6,50.4,26.9,73.1
100,Taurean Prince,BKN,26,64,30,34,29,41.7,58.3,34.2,5.4,56.7,14.7,9.1,12.2,28.7,57.6,42.4,87.7,12.3,73.4,26.6
100,Thaddeus Young,CHI,32,64,22,42,24.9,63.1,36.9,57.7,2.7,36,13.1,6.3,20,54.9,56.8,43.2,93.7,6.3,67.7,32.3
107,Bojan Bogdanovic,UTA,31,63,41,22,33.1,51.1,48.9,35.9,3,44.5,11.3,19.6,15.7,32.9,50.7,49.3,85.7,14.3,66.5,33.5
107,Bryn Forbes,SAS,26,63,27,36,25.1,34.4,65.6,26.6,12.2,62.8,18,10.6,14.9,14.4,72.3,27.7,93.2,6.8,85.1,14.9
107,Danuel House Jr.,HOU,27,63,40,23,30.4,34.1,65.9,30.5,1.2,58.5,17.1,11,18.4,29.3,73.3,26.7,94.6,5.4,85.2,14.8
107,De'Andre Hunter,ATL,22,63,19,44,32,55.5,44.5,44.2,11.8,41.6,13.4,14.2,13,32.4,56.4,43.6,94.4,5.6,71.1,28.9
107,Devonte' Graham,CHA,25,63,23,40,35.1,39.3,60.7,26.2,6.3,57.1,11.7,16.7,15.8,19.9,30.7,69.3,54.6,45.4,44.8,55.2
107,Ersan Ilyasova,MIL,33,63,48,15,15.7,56.2,43.8,46.4,6.3,36.2,15.2,17.4,14.7,40.1,80.2,19.8,98,2,86.3,13.7
107,Giannis Antetokounmpo,MIL,25,63,51,12,30.4,76.3,23.7,64.2,4.8,14.4,20.5,21.4,16,59.3,43.8,56.2,55.1,44.9,45.3,54.7
107,Gorgui Dieng,MEM,30,63,20,43,17.4,58.2,41.8,48.3,9.5,34.9,5.2,16.8,13.1,38.8,72.3,27.7,96.3,3.7,80.1,19.9
107,JaMychal Green,LAC,30,63,43,20,20.7,32.4,67.6,27.4,2.3,64.2,9.3,8.4,17.7,25.1,57.6,42.4,100,0,83.4,16.6
107,Jarrett Culver,MIN,21,63,19,44,23.9,61.2,38.8,56.6,3.1,34.1,11.7,9.3,16.9,53.4,39.6,60.4,75.8,24.2,50,50
107,Jerome Robinson,WAS,23,63,36,27,15.5,50.6,49.4,41.4,19.4,46.1,10.7,12.5,15.4,21.9,43.9,56.1,91.8,8.2,64.3,35.7
107,Lonzo Ball,NOP,22,63,26,37,32.1,42.5,57.5,34.6,5.4,59.6,17,5.8,16.6,29.3,40.3,59.7,82.4,17.6,62.8,37.2
107,Montrezl Harrell,LAC,26,63,44,19,27.8,97.8,2.2,80.3,0.7,0,11.8,19.7,13.5,79.6,61.8,38.2,0,0,61.8,38.2
107,Steven Adams,OKC,26,63,40,23,26.7,99.4,0.6,82.5,0.9,0.4,4.1,17.1,11.1,81.6,67,33,100,0,67.1,32.9
107,Terry Rozier,CHA,26,63,21,42,34.4,55,45,39.9,7.4,45.5,12.9,14.6,19,32.5,31.9,68.1,80.8,19.2,53,47
107,Trey Lyles,SAS,24,63,27,36,20.2,51,49,43.6,6.9,48.3,7.4,8.1,16.8,36.6,75,25,100,0,85.6,14.4
123,Aaron Gordon,ORL,24,62,30,32,32.5,69.1,30.9,58.6,7.6,24.5,14.7,16.9,17.7,51,50,50,89,11,58.5,41.5
123,Anthony Davis,LAL,27,62,46,16,34.4,80.1,19.9,59.2,10.9,13.3,12.2,27.5,15.8,48.3,57.8,42.2,98.6,1.4,63.2,36.8
123,Brandon Ingram,NOP,22,62,25,37,33.9,65,35,48.3,14.1,30.5,13.4,21.2,13.1,34.3,31.7,68.3,88.7,11.3,48.5,51.5
123,Chris Boucher,TOR,27,62,45,17,13.2,60.5,39.5,50.1,1.9,27.7,10.7,22.2,16.1,48.2,66,34,100,0,75.2,24.8
123,Christian Wood,DET,24,62,20,42,21.4,72.4,27.6,57.8,3.5,20,10,22.2,15.7,54.3,71.4,28.6,92.6,7.4,75.3,24.7
123,Danilo Gallinari,OKC,31,62,37,25,29.6,46.3,53.7,31,12.4,46,5,23,11.6,18.6,49.4,50.6,86,14,67.6,32.4
123,Domantas Sabonis,IND,24,62,37,25,34.8,92.1,7.9,76.9,10.8,4.4,3.9,18.7,13.9,66.1,65.1,34.9,100,0,66.4,33.6
123,Garrett Temple,BKN,34,62,30,32,27.9,34.2,65.8,29.6,5.3,59.4,15,11,15.9,24.3,61.1,38.9,85.8,14.2,75.2,24.8
123,Glenn Robinson III,PHI,26,62,17,45,28.8,66.7,33.3,58,17.3,31.8,21.7,10.2,22.6,40.7,77.7,22.3,92.2,7.8,81.6,18.4
123,Josh Okogie,MIN,21,62,19,43,25,61.3,38.7,48.4,0.4,23.1,14.3,28.5,17.3,48,55,45,92.7,7.3,64.1,35.9
123,Khris Middleton,MIL,28,62,46,16,29.9,62.6,37.4,50,24.2,34,12,16,13.8,25.8,37.7,62.3,70.1,29.9,47.8,52.2
123,Marcus Morris Sr.,LAC,30,62,26,36,31.2,57,43,41.2,21.9,41.2,7.2,17.6,12.1,19.4,36.6,63.4,78.9,21.1,53.5,46.5
123,Maurice Harkless,NYK,27,62,39,23,23,65.4,34.6,60.5,2.2,28.6,16.5,10.9,16,58.3,63.9,36.1,91.2,8.8,70.4,29.6
123,Mo Bamba,ORL,22,62,30,32,14.2,62.6,37.4,57.2,4.8,33.4,5.4,9.4,17.5,52.4,53.7,46.3,100,0,66.7,33.3
123,Myles Turner,IND,24,62,37,25,29.4,57.4,42.6,48.6,11.2,34.4,2.8,17,12.8,37.4,70.9,29.1,100,0,80.2,19.8
123,Nikola Vucevic,ORL,29,62,28,34,32.2,72,28,65,12,24.2,3.6,10.8,10.9,53,71.9,28.1,99,1,77.3,22.7
123,Taj Gibson,NYK,35,62,21,41,16.5,95.1,4.9,86,13.7,3.2,5.8,10.8,12.4,72.3,72.4,27.6,100,0,73.1,26.9
140,Bogdan Bogdanovic,SAC,27,61,29,32,28.9,42.4,57.6,37.4,10.8,53.2,12,9.4,12.6,26.6,35.8,64.2,85.4,14.6,59.9,40.1
140,Darius Bazley,OKC,20,61,36,25,18.5,55.5,44.5,44.4,4.1,43,11.4,12.6,21.1,40.4,61.8,38.2,89.8,10.2,72.8,27.2
140,Eric Bledsoe,MIL,30,61,48,13,27,69.4,30.6,57.1,7,24.4,20.6,18.5,15.3,50.1,31.9,68.1,45.9,54.1,35,65
140,Gary Trent Jr.,POR,21,61,29,32,21.8,39.2,60.8,31.1,12.9,62.1,17.6,6.8,14.8,18.1,44,56,85.7,14.3,67.9,32.1
140,Jrue Holiday,NOP,30,61,26,35,34.7,65.6,34.4,57.6,4.3,31.4,14.7,11,13.6,53.3,31,69,57.4,42.6,38,62
140,Kyle Kuzma,LAL,24,61,46,15,25,59.3,40.7,52.4,8.2,33,18.4,14.6,18.8,44.2,60.5,39.5,93,7,70.1,29.9
140,Lonnie Walker IV,SAS,21,61,29,32,16.2,71.7,28.3,57.1,11.8,31.6,21.9,11.3,15.4,45.2,59.5,40.5,95.1,4.9,69.1,30.9
140,Luka Doncic,DAL,21,61,36,25,33.6,56.9,43.1,46.6,2.3,29.2,8.6,24.2,9.7,44.3,17.1,82.9,24,76,19.1,80.9
140,Mason Plumlee,DEN,30,61,38,23,17.3,98.3,1.7,81,0.9,0,7.1,19,16.9,80.1,72.3,27.7,0,0,72.3,27.7
140,Mitchell Robinson,NYK,22,61,20,41,23.2,100,0,85.8,0.3,0,5.1,14.2,12.2,85.4,66.8,33.2,0,0,66.8,33.2
140,Nerlens Noel,OKC,26,61,38,23,18.5,98.9,1.1,81.5,4.5,0.7,5.6,17.8,12.5,77.1,83.1,16.9,100,0,83.2,16.8
151,De'Anthony Melton,MEM,22,60,27,33,19.5,65.1,34.9,53.2,7.5,26.4,28.1,20.4,22.4,45.7,52.9,47.1,87.5,12.5,61.5,38.5
151,Eric Paschall,GSW,23,60,14,46,27.6,79.8,20.2,67.1,13.1,13.3,9,19.6,15.4,54,56.9,43.1,97.3,2.7,61.6,38.4
151,JJ Redick,NOP,36,60,26,34,26.3,37.1,62.9,23.1,14,58.9,15.9,18,13.5,9.2,81.1,18.9,93.3,6.7,88.8,11.2
151,Marcus Smart,BOS,26,60,39,21,32,42.1,57.9,30.7,4.1,53,12.8,16.3,13.8,26.5,30.3,69.7,72.3,27.7,52.7,47.3
151,Nicolo Melli,NOP,29,60,26,34,17.4,36.2,63.8,33.9,6.1,52.4,9.1,13.7,14.4,27.8,61.2,38.8,100,0,80.9,19.1
151,Pascal Siakam,TOR,26,60,46,14,35.2,66.9,33.1,53.8,7,28.7,18,17.5,17.4,46.8,42.3,57.7,66.4,33.6,48.6,51.4
151,Rondae Hollis-Jefferson,TOR,25,60,43,17,18.7,93,7,72.7,4.3,2.2,11.7,25.1,18.9,68.4,64.5,35.5,100,0,65.2,34.8
151,Thon Maker,DET,23,60,20,40,12.9,66.8,33.2,50.5,5.7,23.5,3.6,26,17.4,44.8,76.1,23.9,95.5,4.5,80.6,19.4
151,Trae Young,ATL,21,60,18,42,35.3,54.5,45.5,38.4,5.4,34.6,10.3,27,13,33,16.1,83.9,29.8,70.2,21.2,78.8
151,Vince Carter,ATL,43,60,19,41,14.6,33.6,66.4,30.9,12.1,61.4,7.7,7.7,10.4,18.8,45.7,54.3,86.9,13.1,69.2,30.8
151,Zach LaVine,CHI,25,60,20,40,34.8,59.6,40.4,46.4,6.8,36.1,13.9,17.5,17.8,39.6,40.6,59.4,54.9,45.1,45.5,54.5
162,Darius Garland,CLE,20,59,17,42,30.9,57.7,42.3,48.1,15.9,43.3,8.9,8.6,14,32.1,28,72,73.3,26.7,45,55
162,Derrick Jones Jr.,MIA,23,59,34,25,23.3,62.2,37.8,58.8,0.8,22.2,17.6,19,19,58,77.6,22.4,97.3,2.7,81.5,18.5
162,Frank Jackson,NOP,22,59,26,33,13.5,56.5,43.5,46.9,10.2,38,13.2,15.1,23.2,36.7,49.4,50.6,89.4,10.6,63.4,36.6
162,George Hill,MIL,34,59,47,12,21.5,53.2,46.8,40.8,4.3,43.9,15,15.3,13.2,36.5,46.9,53.1,64.2,35.8,54.1,45.9
162,Goran Dragic,MIA,34,59,37,22,28.2,53.3,46.7,40.9,8.8,39,10.9,20.1,10.7,32.1,33.8,66.2,65.3,34.7,46.1,53.9
