PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Khris Middleton,MIL,66,5,25.1,0.92,4.6,1.6,3.7,44.6,51.9
Patrick Beverley,MIN,59,2.4,25.1,0.83,2,0.7,1.8,42.3,44.7
Nickeil Alexander-Walker,UTA,14,1.1,25,0.8,0.9,0.3,0.8,36.4,45.5
Lindell Wigginton,MIL,19,1.2,25,0.46,0.5,0.2,0.7,23.1,23.1
Brandon Ingram,NOP,55,5.7,24.6,0.93,5.2,2.2,4.4,49.8,50.2
Jaylen Nowell,MIN,62,1.9,24.3,1.06,2,0.7,1.6,45.4,53.1
Jeremy Lamb,IND,39,1.8,24.3,0.8,1.4,0.5,1.4,35.8,36.8
Derrick White,BOS,26,2.7,24.1,0.86,2.3,0.7,1.8,37.5,39.6
Collin Sexton,CLE,11,4.3,24,0.68,2.9,1.1,2.8,38.7,38.7
Jordan Poole,GSW,76,4.2,23.8,1,4.2,1.5,3.1,47.4,56.2
Lonnie Walker IV,SAS,70,3,23.6,0.94,2.9,1.1,2.6,42.3,45.1
Coby White,CHI,61,2.9,23.5,0.89,2.6,1,2.4,43.8,46.5
Kyle Guy,MIA,18,1.1,23.5,0.47,0.5,0.2,0.6,27.3,31.8
Payton Pritchard,BOS,71,1.4,23.2,0.87,1.2,0.5,1.2,42.2,49.4
Talen Horton-Tucker,LAL,60,2.6,23,0.9,2.4,0.9,2,47.5,50.4
George Hill,MIL,54,1.4,22.9,0.87,1.3,0.4,1.1,39,40.7
Hassani Gravett,ORL,8,1.4,22.9,0.55,0.8,0.4,1,37.5,37.5
R.J. Hampton,ORL,64,2.1,22.8,0.47,1,0.3,1.5,23.2,24.2
Gary Trent Jr.,TOR,70,4,22.6,0.87,3.5,1.4,3.6,37.8,42.6
Dillon Brooks,MEM,33,4.2,22.6,0.81,3.5,1.4,3.8,37,39.4
Seth Curry,BKN,19,2.8,22.4,0.96,2.7,1.2,2.4,51.1,55.6
Jayson Tatum,BOS,76,5.8,22.3,0.95,5.5,2,4.5,45.2,53.2
Jimmy Butler,MIA,58,4.3,21.9,0.92,4,1.3,2.9,42.9,43.2
Will Barton,DEN,71,3.3,21.9,0.8,2.7,1.1,2.7,40.5,45
Josh Christopher,HOU,74,1.9,21.4,0.87,1.7,0.6,1.3,46.5,50.5
Theo Maledon,OKC,51,1.7,20.7,0.8,1.4,0.5,1.2,40.3,46.8
Lonzo Ball,CHI,35,2.8,20.4,0.73,2,0.8,2.1,38.4,47.3
Evan Fournier,NYK,80,2.8,20.3,0.87,2.4,0.9,2.3,39,47.6
Terence Davis,SAC,30,2.1,20.3,0.88,1.9,0.6,1.8,35.2,44.4
Jevon Carter,BKN,46,0.9,20.2,0.68,0.6,0.3,0.8,34.3,40
Marcus Smart,BOS,71,2.7,20,0.7,1.9,0.7,1.8,38.8,40.7
Brandon Boston Jr.,LAC,51,1.5,19.9,0.87,1.3,0.4,1.3,33.8,40
Kevin Huerter,ATL,74,2.3,19.7,0.82,1.9,0.8,1.9,41.3,45.5
Jordan McLaughlin,MIN,62,0.8,19.7,0.71,0.6,0.2,0.6,33.3,39.7
Bogdan Bogdanovic,ATL,63,2.8,19.6,0.83,2.3,1,2.4,39.2,44.8
Chris Duarte,IND,55,2.6,19,0.86,2.3,0.8,2,41.1,47.8
Duane Washington Jr.,IND,48,2,19,0.78,1.6,0.6,1.6,39,41.6
Dalano Banton,TOR,64,0.8,18.9,0.56,0.5,0.2,0.6,28.2,29.5
Jordan Nwora,MIL,62,1.6,18.8,0.8,1.3,0.5,1.3,39.7,46.8
Skylar Mays,ATL,19,0.7,18.8,1.54,1.1,0.4,0.5,88.9,88.9
Chris Chiozza,GSW,34,0.6,18.6,0.43,0.3,0.1,0.4,28.6,32.1
Cam Reddish,NYK,15,1.1,18.3,1.18,1.3,0.5,0.9,50,53.6
Luguentz Dort,OKC,51,3.2,18,0.92,2.9,1,2.5,38.6,45.3
Norman Powell,POR,40,3.1,18,0.94,2.9,0.9,2.3,38.9,42.2
Buddy Hield,IND,26,3.3,18,0.65,2.2,0.9,2.5,34.8,40.9
Terry Rozier,CHA,73,3.2,17.7,0.84,2.7,1.1,2.7,40.1,43.7
Malik Monk,LAL,76,2.3,17.7,0.89,2.1,0.8,1.8,44.9,51.4
LeBron James,LAL,56,4.9,17.6,0.93,4.5,1.6,3.7,42,50.5
Georgios Kalaitzakis,OKC,4,3.5,17.5,0.07,0.3,0,1.5,0,0
Alex Caruso,CHI,41,1.5,17.3,0.72,1,0.4,1.1,36.4,38.6
Donte DiVincenzo,MIL,17,1.6,17,0.74,1.2,0.4,1.2,33.3,47.6
Kevin Durant,BKN,55,4.4,16.5,1.04,4.6,1.6,3.3,47.3,53.6
Tobias Harris,PHI,73,2.8,16.5,1.05,2.9,1.2,2.4,51.7,53.4
Tim Hardaway Jr.,DAL,42,2.4,16.4,0.89,2.1,0.8,2.1,36.4,44.3
Josh Jackson,SAC,12,0.9,16.4,0.73,0.7,0.3,0.8,33.3,33.3
Andrew Wiggins,GSW,73,2.8,16.3,0.88,2.4,1,2.2,45.1,47.9
Jaylen Brown,BOS,66,3.7,16.2,0.9,3.3,1.3,2.8,44.7,50.8
Vit Krejci,OKC,30,1.1,16,0.73,0.8,0.3,0.8,37.5,41.7
Terance Mann,LAC,81,1.6,15.5,0.98,1.6,0.6,1.4,44.2,48.2
Amir Coffey,LAC,69,1.3,15.5,0.87,1.1,0.4,1.1,40.8,45.4
De'Anthony Melton,MEM,73,1.8,15.4,0.72,1.3,0.5,1.5,34.6,39.3
Joshua Primo,SAS,50,1.1,15.3,0.8,0.9,0.3,0.8,42.5,47.5
Frank Ntilikina,DAL,58,0.7,15.2,0.78,0.5,0.2,0.6,42.4,47
Buddy Hield,SAC,55,2.2,15.1,0.78,1.7,0.6,1.7,34.7,44.2
PJ Dozier,DEN,18,1,15.1,0.44,0.4,0.2,0.9,25,25
Naji Marshall,NOP,55,1,14.9,0.79,0.8,0.3,0.7,44.4,45.8
Desmond Bane,MEM,76,2.4,14.5,0.77,1.9,0.8,2.1,38.6,42.1
Elijah Hughes,POR,22,0.8,14.5,1,0.8,0.3,0.6,42.9,53.6
Ayo Dosunmu,CHI,77,1.3,14.4,0.93,1.2,0.5,0.9,60.3,60.3
James Bouknight,CHA,30,0.8,14.3,0.79,0.6,0.3,0.8,34.8,41.3
Gordon Hayward,CHA,49,2.2,14.2,0.8,1.8,0.6,1.7,38.3,42
Josh Richardson,BOS,44,1.3,14.1,0.86,1.1,0.5,1.1,42,42
Josh Richardson,SAS,21,1.5,13.9,0.78,1.2,0.5,1.1,45.8,47.9
Landry Shamet,PHX,69,1.1,13.8,0.86,1,0.3,0.9,38.3,46.7
Deni Avdija,WAS,82,1.2,13.5,0.86,1,0.4,0.9,47.9,50.7
Gary Harris,ORL,61,1.4,13.1,0.52,0.7,0.3,1.1,27.1,30
Kyle Kuzma,WAS,66,2.4,13,0.82,1.9,0.8,1.8,41.3,43.4
Aleksej Pokusevski,OKC,61,1.2,12.9,0.51,0.6,0.2,0.7,26.7,31.1
Pascal Siakam,TOR,68,2.9,12.8,0.88,2.6,1.1,2.4,45.6,46.3
Isaiah Joe,PHI,55,0.5,12.7,0.19,0.1,0,0.4,4.5,4.5
Kentavious Caldwell-Pope,WAS,77,1.6,12.6,0.83,1.3,0.5,1.2,46.7,50
Devin Vassell,SAS,71,1.5,12.5,0.74,1.1,0.5,1.4,37.5,39.1
Armoni Brooks,HOU,41,0.9,12.5,0.63,0.5,0.2,0.7,27.6,37.9
Keldon Johnson,SAS,75,2,12.4,0.84,1.7,0.6,1.6,40.7,42.8
Davon Reed,DEN,48,0.5,12,1.04,0.5,0.2,0.4,55.6,58.3
Bryn Forbes,SAS,40,1,11.8,0.83,0.9,0.4,0.9,42.9,45.7
Patrick Williams,CHI,17,0.9,11.8,0.94,0.9,0.3,0.7,41.7,41.7
Kelan Martin,IND,27,0.8,11.7,1.04,0.9,0.4,0.8,52.4,54.8
Luke Kennard,LAC,70,1.2,11.5,0.94,1.1,0.4,1,41.7,49.3
